#{"t_start": 1706100974.6890998, "env_id": "LunarLander-v2"}
r,l,t
-652.299287,100,0.250432
-297.055034,100,0.310436
-356.500139,69,0.355603
-244.609123,54,0.389627
-262.676335,88,0.444845
-97.907196,53,0.477901
-321.894798,54,0.528426
-88.610116,95,0.598234
-283.275277,104,0.672247
-751.873302,84,0.723286
-114.807822,60,0.762858
-850.816912,123,0.838964
-532.08915,65,0.879864
-312.623519,110,0.947401
-773.920671,83,0.997913
-159.98748,67,1.050339
-521.187226,70,1.177512
-556.49409,61,1.213923
-454.12594,68,1.258048
-114.272678,70,1.300119
-27.675596,90,1.356348
-413.365671,75,1.404154
-702.441145,74,1.459107
-657.821702,75,1.527145
-129.454002,65,1.583786
-149.07052,80,1.64501
-299.225976,71,1.704677
-644.501338,78,1.767493
-130.010334,84,1.832234
-180.874743,149,1.951716
-147.193038,92,2.028532
-85.51995,89,2.105494
-241.420189,104,2.200999
-109.267014,69,2.254992
-495.814069,75,2.317312
-382.907696,60,2.365806
-155.395456,84,2.433836
-157.413229,90,2.50528
-396.652183,65,2.548209
-94.167626,50,2.577661
-402.663859,58,2.615584
-602.849365,86,2.66938
-72.53239,82,2.720778
-155.560614,77,2.766809
-458.705654,93,2.824864
-216.787712,111,2.890663
-150.053335,59,2.929261
-507.544709,68,2.969943
-45.33433,126,3.055358
-116.438973,70,3.096591
-96.225359,52,3.130587
-1.228349,99,3.189854
-399.169736,56,3.227158
-702.262629,64,3.267254
-422.049964,148,3.357085
-356.914753,74,3.401519
-121.449867,64,3.442985
-521.037999,60,3.486789
-208.14035,84,3.538984
-504.449778,117,3.608483
-381.461644,105,3.682886
-131.126508,53,3.714744
-166.693305,61,3.754947
-118.397945,61,3.791535
-797.277093,119,3.874786
-384.126278,54,3.906997
-199.471394,89,3.963367
-115.150239,58,3.99815
-142.241689,55,4.032706
-501.135798,65,4.073057
-351.325913,56,4.106171
-132.659198,79,4.154433
-227.800168,62,4.192735
-931.625599,152,4.28544
-696.537072,80,4.337082
-672.662733,79,4.386356
-765.58434,82,4.435477
-94.910254,89,4.495464
-213.289223,56,4.543544
-131.636622,67,4.598815
-161.285098,71,4.673935
-187.638151,70,4.73339
-563.637195,118,4.838491
-172.884059,69,4.898557
-232.222146,68,4.958219
-94.492377,90,5.039628
-1.973542,97,5.113459
-385.867861,87,5.168826
-285.052164,56,5.205788
-382.252119,77,5.254125
-119.538035,56,5.290582
-326.245224,161,5.388272
9.117076,91,5.444445
-156.800713,76,5.494131
-685.75154,72,5.539937
-137.896806,65,5.580431
-394.300233,70,5.628858
-451.609995,91,5.690731
-408.31599,67,5.731361
-362.917355,52,5.767726
-269.148421,99,5.85515
-196.163878,54,5.906286
36.448359,126,6.028982
-182.513814,81,6.111728
-326.50874,82,6.184046
9.851746,71,6.23555
-89.033545,56,6.269678
-405.874365,54,6.304652
-135.412635,65,6.344151
-257.483738,84,6.393531
-118.651269,52,6.427336
-325.283477,52,6.464169
-105.756651,70,6.52677
-38.196573,123,6.600175
-45.70369,98,6.661368
-133.408529,84,6.712694
-354.830921,54,6.746474
-220.149655,77,6.791389
-202.113015,68,6.833852
-614.26773,77,6.881444
-646.898394,66,6.924267
-161.874524,81,6.972728
-371.126422,119,7.046443
-287.855325,98,7.105833
-145.374039,90,7.161474
-31.02824,65,7.199802
-294.315665,97,7.262613
-1070.883768,115,7.336377
-154.37046,74,7.386517
-130.233669,59,7.42133
-471.272963,77,7.471443
-344.523342,89,7.523883
-140.336246,70,7.568697
-50.087912,70,7.610046
-504.544363,78,7.658652
-459.76342,62,7.697159
-333.183366,95,7.774168
-75.602966,84,7.84902
-161.321388,79,7.911737
-226.310522,97,7.973143
-168.554856,90,8.028817
-12.545488,148,8.119903
-141.249144,77,8.167905
-143.109544,65,8.207187
