#{"t_start": 1706096909.6617947, "env_id": "LunarLander-v2"}
r,l,t
-1167.709356,170,0.342222
-184.621749,65,0.395432
-334.372085,112,0.485206
-179.489849,77,0.569684
-216.02494,59,0.612675
-153.32819,66,0.657266
-124.799144,81,0.716146
-982.557907,86,0.779381
-713.796086,72,0.827219
-105.686104,53,0.865864
-121.29792,56,1.003577
-35.779209,80,1.054503
-122.202248,70,1.110791
-94.356214,52,1.142605
-496.743764,73,1.202218
-132.448957,67,1.243366
-743.008363,111,1.323324
-375.093884,107,1.400672
-359.752865,88,1.459077
-119.067821,80,1.518693
-136.445286,71,1.615241
-587.679518,66,1.662338
-134.154987,86,1.724556
-154.118599,62,1.761464
-129.697122,87,1.824141
-112.019379,64,1.865218
-137.093605,90,1.930928
-996.915596,153,2.039485
-457.002381,54,2.074202
-146.694574,71,2.128669
-119.102651,65,2.192156
-98.591885,56,2.238354
-117.87797,56,2.272824
-119.501901,58,2.310329
-124.893979,68,2.359976
-186.526214,66,2.400076
-90.250888,53,2.442238
-151.523254,56,2.480377
-690.007024,93,2.550274
-137.48714,60,2.587393
-120.288157,64,2.649969
-121.286239,65,2.6959
-123.275876,58,2.741639
-318.749912,73,2.789152
-81.658337,57,2.82512
-143.575668,73,2.878829
-123.104733,57,2.913246
-424.988157,53,2.956317
-302.265044,89,3.012172
-426.021401,83,3.074087
-257.799564,111,3.178717
-107.839819,82,3.236506
-254.875298,111,3.314718
-352.38875,66,3.36605
-180.343649,71,3.410671
-144.037291,67,3.458548
3.332466,142,3.547702
-190.54139,82,3.607277
-153.491489,60,3.644883
-123.163398,60,3.691731
-151.682727,79,3.770518
-113.337868,52,3.808131
-717.207485,294,4.005938
-178.706292,69,4.046149
-216.447279,71,4.099788
-130.265518,69,4.140106
-418.121411,75,4.201698
-137.216318,64,4.240875
-120.42321,58,4.28561
-489.539322,91,4.344776
-895.665424,124,4.448333
-20.306886,83,4.513338
-156.831092,67,4.55315
45.635251,83,4.616003
-123.365904,60,4.651256
-96.878154,58,4.692902
-139.433959,67,4.739532
-463.038641,82,4.794717
-126.241214,74,4.846401
-147.109877,74,4.896836
-307.872188,64,4.961702
-173.556955,53,5.003953
-116.947853,83,5.060312
-181.359541,81,5.119509
-145.802411,55,5.154181
-133.446415,83,5.210804
-281.657955,97,5.274991
-148.837607,80,5.336455
-770.627948,86,5.389487
-143.320042,64,5.441042
-112.084641,54,5.487659
-95.119602,86,5.562537
-151.298267,70,5.611242
-567.445204,81,5.669175
-295.202767,105,5.744768
-133.555674,82,5.793473
-126.975706,57,5.837068
-126.908826,64,5.87925
-205.254474,62,5.922623
-116.393225,56,5.963981
-153.129872,65,6.025327
20.978903,113,6.10914
-401.414151,66,6.162609
-142.050801,73,6.206186
-1004.489482,124,6.294471
-115.70352,79,6.352864
-198.852145,69,6.395525
-139.211034,69,6.443802
-486.564781,63,6.490982
-89.093099,53,6.52273
-243.273846,103,6.610266
-230.332372,82,6.673912
-178.789596,75,6.719137
-495.885724,60,6.769354
-322.832094,68,6.811281
-107.83379,77,6.867726
-98.225086,55,6.902812
-327.214828,82,6.958676
-121.289933,79,7.012852
-167.879958,76,7.067817
-137.098165,60,7.126718
-117.237848,62,7.176424
-309.744076,69,7.225633
16.987748,79,7.284955
-120.34744,73,7.329379
-239.983945,66,7.381339
-105.312768,84,7.433021
-152.21009,72,7.489334
-106.62727,83,7.539338
-119.904066,78,7.5983
-180.921828,79,11.143071
-94.429671,86,11.214647
-287.955089,63,11.252807
-165.903765,72,11.309802
-151.862335,66,11.349683
-275.307911,78,11.41174
-125.425671,77,11.457177
-123.081123,55,11.504817
-118.666268,58,11.540312
-120.459018,80,11.600506
-121.507165,67,11.670541
-133.520786,69,11.730526
-159.015725,77,11.782205
-29.059506,93,11.846434
-165.189624,75,11.900493
-100.192888,82,11.953233
-1526.147778,207,12.096301
-93.061649,55,12.134765
-110.417094,89,12.190173
-156.189138,72,12.240576
-137.207877,59,12.322572
-99.052519,88,12.38717
-120.242074,90,12.453168
-131.775803,83,12.508081
-143.47137,56,12.552573
-163.673722,80,12.600965
-85.450251,77,12.660839
