#{"t_start": 1706104814.2995346, "env_id": "LunarLander-v2"}
r,l,t
-134.707919,64,0.228693
-138.542948,61,0.269096
-2.826773,85,0.327165
-18.912085,68,0.372535
-142.79836,74,0.422924
-584.8681,64,0.466124
-319.835297,56,0.518829
-502.471104,86,0.593202
-584.624511,120,0.715849
-950.777776,83,0.781472
-136.941968,61,0.820406
-545.493743,67,0.869106
-148.640135,90,0.92643
-368.398045,50,0.962152
-170.662157,66,1.005741
-374.639274,52,1.045665
-534.938373,59,1.104356
-168.988303,93,1.195783
-212.229331,73,1.268516
-232.239002,55,1.324496
-128.233267,59,1.382068
-154.850963,60,1.4358
-478.78719,80,1.515926
-821.904229,77,1.592402
-559.410851,97,1.776589
-185.237555,73,1.843805
-488.363868,64,1.895564
-134.768021,78,1.945666
-196.904921,72,1.997066
-258.811308,64,2.038825
-141.733181,73,2.087685
-1938.919969,177,2.204675
-569.529496,69,2.250447
-75.339543,83,2.305753
-152.263376,57,2.342668
-497.774776,56,2.382194
-147.412768,59,2.421504
-469.637225,56,2.458253
-120.040565,70,2.50506
-663.517867,75,2.554256
-35.979885,60,2.595744
-101.683318,86,2.652133
-127.163936,72,2.699823
-48.893245,89,2.757059
-82.77386,53,2.797534
-480.665648,71,2.847205
-149.408635,59,2.885808
-996.284381,163,2.991366
-727.392537,75,3.051657
-276.822259,95,3.11387
-253.599098,75,3.163757
-128.146771,66,3.207728
-400.421563,61,3.247534
-492.797555,92,3.308654
-184.998602,52,3.343628
-806.252749,78,3.394574
-377.98534,70,3.44156
-1358.406469,197,3.569271
-159.988518,58,3.60614
-145.648903,61,3.64805
-109.667903,77,3.696108
-110.20356,53,3.732714
-107.704291,85,3.787675
-216.794782,95,3.852283
-140.633008,65,3.89569
-153.114342,63,3.937184
-122.921422,57,3.974032
-347.282153,105,4.045522
-121.563472,65,4.08739
-461.090197,89,4.145944
-165.98478,74,4.192857
-164.604408,85,4.248989
-115.744011,65,4.301146
-153.54323,59,4.343745
-85.611369,55,4.380056
-121.776429,56,4.415855
-144.559487,58,4.456476
-95.340417,59,4.495706
-153.622129,79,4.54724
-141.076986,70,4.592128
-140.301569,57,4.628673
-114.778777,54,4.66572
-167.786246,60,4.704493
-146.768991,89,4.762208
-185.656648,83,4.815118
-163.113902,88,4.872737
-125.179322,62,4.913781
-44.240883,79,4.966495
-142.489031,83,5.0206
-694.012209,78,5.073139
-133.351576,92,5.131702
-834.358281,79,5.185277
-343.51376,52,5.219823
-346.817933,170,5.329274
-691.600325,102,5.39735
-34.766133,60,5.435514
-864.777991,87,5.504093
-529.095878,69,5.549289
-429.69351,58,5.590033
-498.832152,65,5.633076
-179.898794,77,5.683928
-243.577895,60,5.723427
-461.122732,62,5.763851
-181.047804,53,5.80735
-510.488719,64,5.849859
-799.653806,83,5.907377
-700.990437,91,5.964836
-136.737186,65,6.010081
-157.349692,73,6.057692
-157.057334,70,6.103921
-107.976486,80,6.155061
-141.039477,71,6.202204
-387.247417,60,6.242037
-84.257764,56,6.277459
-148.220615,58,6.317824
-101.804153,52,6.351554
-142.298663,90,6.410431
-172.072313,69,6.454675
-120.051952,63,6.498183
-453.900297,66,6.541126
-110.078841,62,6.586526
-116.293252,85,6.643333
-75.85726,64,6.68346
-194.907195,84,6.740129
-104.304892,60,6.778523
-88.753463,82,6.833295
-127.505839,74,6.881178
-144.066716,86,6.939192
-114.499049,52,6.972967
-121.340592,64,7.016998
-484.78981,57,7.054478
-153.474705,71,7.0989
-371.643747,83,7.155078
-389.092867,79,7.206047
-123.244786,65,7.25087
-125.119792,54,7.289665
