#{"t_start": 1706068351.511164, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
353.780675,38,0.604371
231.926924,25,0.618565
278.639427,30,0.633177
232.354057,25,0.646167
213.425791,23,0.662285
287.570953,31,0.676359
278.721489,30,0.693301
222.104645,24,0.702475
344.288092,37,0.720203
203.804746,22,0.728574
371.794891,40,0.744497
334.224784,36,0.757425
241.296942,26,0.771781
240.96409,26,0.782774
269.190976,29,0.796229
343.251308,37,0.809242
278.691304,30,0.825551
287.781561,31,0.836948
231.557826,25,0.846603
297.600311,32,0.858024
250.822168,27,0.872609
306.825607,33,0.884826
288.043429,31,0.901119
287.813743,31,0.913433
493.600456,53,0.936345
343.833553,37,0.950569
240.780943,26,0.959797
352.720627,38,0.974284
213.236991,23,0.987409
297.548171,32,0.999584
203.675431,22,1.009921
334.469589,36,1.026437
250.654009,27,1.03938
400.311355,43,1.055924
269.0659,29,1.067013
334.815901,36,1.080202
306.508649,33,1.096036
297.453561,32,1.107661
259.851351,28,1.118765
372.058088,40,1.139008
222.521782,24,1.15131
353.020342,38,1.16571
232.242669,25,1.174883
306.219163,33,1.187485
325.331599,35,1.2037
362.558174,39,1.218379
269.140619,29,1.229011
213.354722,23,1.237511
353.396315,38,1.257121
241.230717,26,1.267172
484.675918,52,1.286741
343.925738,37,1.300487
334.335497,36,1.316924
260.102965,28,1.327507
325.433301,35,1.340187
278.611042,30,1.356355
231.443328,25,1.368774
260.254358,28,1.379542
250.445748,27,1.389527
250.24054,27,1.400056
287.939722,31,1.414826
231.746088,25,1.42391
306.841334,33,1.436367
241.220759,26,1.445951
194.522161,21,1.457164
334.124636,36,1.475515
418.605904,45,1.493073
268.681711,29,1.504377
212.941381,23,1.517012
240.859799,26,1.527684
306.22017,33,1.540514
334.581647,36,1.553844
241.131018,26,1.566831
240.908593,26,1.579353
250.453656,27,1.58947
241.163063,26,1.599568
250.321759,27,1.612555
259.629475,28,1.622709
334.675624,36,1.636747
204.097944,22,1.644804
268.833678,29,1.660598
241.024818,26,1.670994
268.834102,29,1.686975
343.075221,37,1.700909
222.171952,24,1.715876
362.895692,39,1.73008
418.031492,45,1.748914
278.63409,30,1.759731
287.814318,31,1.776037
334.748934,36,1.789118
259.598721,28,1.804619
232.081391,25,1.814757
278.226897,30,1.830596
315.362378,34,1.843733
306.209639,33,1.855714
306.688147,33,1.868402
334.548228,36,1.884843
306.434168,33,1.896867
250.405684,27,1.910907
484.228168,52,1.930682
203.969459,22,1.942564
231.710085,25,1.952031
213.065275,23,1.960268
306.579464,33,1.973141
240.798863,26,1.98614
306.692518,33,1.999651
194.247105,21,2.007721
306.622253,33,2.025096
390.530358,42,2.0494
343.57313,37,2.089702
250.365786,27,2.099658
250.350176,27,2.10918
334.278789,36,2.126153
259.898611,28,2.138784
231.946824,25,2.151312
428.347742,46,2.167855
418.651792,45,2.18844
418.549539,45,2.205294
325.689677,35,2.218256
334.237184,36,2.231398
400.221444,43,2.249727
334.320518,36,2.266291
213.485513,23,2.275451
277.863462,30,2.287803
203.642008,22,2.299187
250.58538,27,2.309888
512.491903,55,2.330134
334.825164,36,2.343508
259.99952,28,2.360141
241.094098,26,2.370431
241.025132,26,2.381166
287.882541,31,2.392909
203.622314,22,2.404526
316.202296,34,2.417252
241.227282,26,2.42742
213.186218,23,2.435631
231.861625,25,2.449257
241.551542,26,2.459104
259.635299,28,2.469188
213.16261,23,2.480904
296.850482,32,2.49768
185.547715,20,2.504597
250.511388,27,2.51545
325.201687,35,2.530086
372.014055,40,2.549028
297.655964,32,2.562142
222.695312,24,2.570667
268.95125,29,2.581673
306.345104,33,2.600175
269.235842,29,2.611613
231.842193,25,2.620496
493.658881,53,2.641923
315.945424,34,2.659042
456.278558,49,2.677329
203.793327,22,2.685115
278.619921,30,2.695863
427.9722,46,2.719172
325.213596,35,2.73258
241.142845,26,2.743349
269.275525,29,2.753514
316.228609,34,2.770582
222.899406,24,2.780138
287.715497,31,2.79135
409.473683,44,2.807179
269.34517,29,2.827022
259.522624,28,2.837211
315.893188,34,2.850045
511.672882,55,2.870293
381.169397,41,2.88936
287.670674,31,2.901183
222.268019,24,2.90988
222.516786,24,2.918319
222.675983,24,2.936471
241.61357,26,2.947335
334.553648,36,2.961395
390.746852,42,2.977132
540.679574,58,3.001714
250.313027,27,3.011555
241.236002,26,3.021188
231.94222,25,3.030224
287.987758,31,3.04769
352.689902,38,3.062085
250.46358,27,3.071989
381.227514,41,3.087686
232.09415,25,3.100849
297.178426,32,3.112484
325.183308,35,3.125183
213.123198,23,3.133603
278.40057,30,3.147546
287.976021,31,3.162632
213.004839,23,3.170986
250.464918,27,3.18126
250.727834,27,3.195056
259.882648,28,3.205476
306.268725,33,3.218117
297.423789,32,3.230215
278.024662,30,3.24509
213.456432,23,3.253778
334.349073,36,3.26804
278.417721,30,3.283979
287.832713,31,3.299053
268.569574,29,3.310856
315.995003,34,3.323355
306.483583,33,3.335272
194.443336,21,3.347056
222.425584,24,3.355931
278.778962,30,3.367027
361.685712,39,3.384587
241.324191,26,3.398342
222.492586,24,3.407321
362.679476,39,3.422326
306.582544,33,3.435186
343.856263,37,3.452411
361.289322,39,3.466655
316.106107,34,3.479817
371.719093,40,3.500074
176.133563,19,3.51081
278.777932,30,3.521597
241.368665,26,3.531887
343.364933,37,3.545627
549.968888,59,3.570697
306.505478,33,3.583018
296.9629,32,3.595141
231.955157,25,3.606823
250.043752,27,3.621119
203.762256,22,3.630164
231.838362,25,3.639556
250.36727,27,3.649554
446.023925,48,3.670969
371.742539,40,3.686423
222.452085,24,3.694977
343.6725,37,3.71169
325.244565,35,3.728301
212.761657,23,3.736817
334.924676,36,3.749869
222.573602,24,3.758964
204.177809,22,3.770375
203.908481,22,3.779202
232.316869,25,3.788678
297.766302,32,3.800412
212.910003,23,3.812533
278.169174,30,3.824649
362.489303,39,3.843354
306.580128,33,3.855514
278.696845,30,3.87014
250.556729,27,3.880741
241.106622,26,3.890661
287.720969,31,3.902308
241.468225,26,3.915459
250.51118,27,3.926816
316.07076,34,3.940113
232.068378,25,3.952308
325.441429,35,3.968715
334.577179,36,3.982962
250.556343,27,3.993516
389.997968,42,4.009146
306.759603,33,4.025783
343.762435,37,4.03932
306.817163,33,4.051067
288.088968,31,4.066629
184.955865,20,4.078704
259.688181,28,4.089018
446.469229,48,4.106982
259.835589,28,4.117142
241.222516,26,4.131418
250.501007,27,4.141892
315.318642,34,4.154588
306.865896,33,4.166313
250.68103,27,4.183341
353.282719,38,4.197958
287.793462,31,4.209722
278.441489,30,4.22096
213.155341,23,4.233594
465.529521,50,4.252217
232.003982,25,4.262025
269.445316,29,4.272985
259.555213,28,4.288305
353.16034,38,4.306297
278.690511,30,4.317909
212.961949,23,4.326911
380.910312,41,4.345361
343.921835,37,4.359508
334.939635,36,4.372761
269.122675,29,4.383549
334.729197,36,4.399801
259.627078,28,4.440137
250.677517,27,4.458855
418.603323,45,4.475982
259.681342,28,4.490346
353.093918,38,4.504466
241.063177,26,4.51424
232.022826,25,4.52351
185.222981,20,4.533551
203.972673,22,4.545853
185.371213,20,4.553363
260.104532,28,4.564372
259.781383,28,4.57872
287.872304,31,4.590519
194.544862,21,4.598164
297.037633,32,4.610433
334.771707,36,4.627459
334.68035,36,4.640598
250.282105,27,4.653238
297.241127,32,4.665781
278.670324,30,4.68018
203.874562,22,4.688689
231.686818,25,4.697895
260.449769,28,4.708147
362.605175,39,4.726677
213.193376,23,4.735009
241.37584,26,4.744727
278.088357,30,4.760388
203.801171,22,4.771841
259.639915,28,4.782708
287.792525,31,4.794491
418.674611,45,4.810736
212.980919,23,4.822401
287.851447,31,4.83414
306.710633,33,4.846495
213.658113,23,4.855144
287.780771,31,4.873991
249.889323,27,6.559755
325.135802,35,6.792235
250.527458,27,6.967045
250.581486,27,7.175592
334.934048,36,7.419655
306.395566,33,7.638485
297.367417,32,7.860089
250.744612,27,8.045219
222.715784,24,8.20195
260.270316,28,8.387558
213.304862,23,8.544255
194.876153,21,8.6861
279.013322,30,8.883956
353.036891,38,9.132289
213.77484,23,9.284344
185.495311,20,9.418908
185.559783,20,9.546814
204.319304,22,9.691243
241.359963,26,9.860464
166.970555,18,9.9829
157.548417,17,10.09341
167.107347,18,10.213403
157.744351,17,10.328863
157.787972,17,10.445789
157.520005,17,10.556597
166.81559,18,10.674201
167.111109,18,10.795605
157.510389,17,10.91228
147.945065,16,11.018919
148.397694,16,11.124358
148.256796,16,11.231712
147.936353,16,11.343465
138.711734,15,11.442803
148.362618,16,11.556412
157.578922,17,11.669723
157.434886,17,11.79511
138.919099,15,11.8995
157.657186,17,12.018288
138.762557,15,12.122713
157.608389,17,12.247361
148.428345,16,12.362504
157.90943,17,12.481982
148.236797,16,12.597422
138.955554,15,12.708524
148.165793,16,12.820942
138.614323,15,12.92776
129.654308,14,13.026704
157.539865,17,13.153892
138.977902,15,13.263052
148.229872,16,13.376123
138.889932,15,13.482833
148.266886,16,13.601296
138.852152,15,13.707156
138.812173,15,13.81333
129.633826,14,13.912332
138.881321,15,14.023432
148.111257,16,14.137283
138.731359,15,14.244754
138.732619,15,14.351805
138.640866,15,14.463269
138.797567,15,14.571334
148.328387,16,14.68696
138.846164,15,14.796944
157.550391,17,14.921792
129.62837,14,15.018401
148.05807,16,15.132324
139.053383,15,15.242638
157.852432,17,15.374744
138.860776,15,15.487357
148.351236,16,15.603442
148.486764,16,15.719573
157.674721,17,15.852515
138.904359,15,15.965962
129.734078,14,16.070891
138.823256,15,16.181233
138.627274,15,16.299998
157.652361,17,16.430967
148.324808,16,16.559573
138.872896,15,16.678963
