#{"t_start": 1706116162.947708, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
306.34929,33,0.622626
408.911032,44,0.646261
241.043517,26,0.659158
269.188355,29,0.673183
371.961094,40,0.693454
371.687597,40,0.714398
287.981418,31,0.72798
250.363768,27,0.740555
352.8299,38,0.760029
269.361284,29,0.77272
316.367933,34,0.786689
400.057945,43,0.80348
306.269414,33,0.823699
409.301245,44,0.840989
222.320129,24,0.850377
362.656249,39,0.865399
241.460372,26,0.879416
306.67408,33,0.893145
240.899051,26,0.903962
278.561524,30,0.915065
232.075359,25,0.931542
325.25357,35,0.945711
324.710693,35,0.960308
250.425055,27,0.9715
316.016722,34,0.989183
250.065396,27,0.999444
241.300886,26,1.009619
325.59603,35,1.022906
241.304312,26,1.038909
222.378818,24,1.047684
241.032565,26,1.058405
269.286814,29,3.002752
269.309251,29,3.029206
287.817767,31,3.071707
240.787335,26,3.082341
297.373436,32,3.094702
287.601255,31,3.110707
353.311643,38,3.125572
213.260264,23,3.134474
400.114475,43,3.151188
380.401893,41,3.170712
399.850948,43,3.191036
269.110093,29,3.202352
371.925386,40,3.217795
315.73717,34,3.234325
259.614651,28,3.244829
222.589763,24,3.254045
483.890218,52,3.273131
381.064565,41,3.295637
325.023605,35,3.309134
306.412275,33,3.322647
297.177402,32,3.334607
287.824607,31,3.350263
259.933804,28,3.361063
315.708583,34,3.374196
231.773262,25,3.383393
231.933189,25,3.399478
260.171915,28,3.410251
315.661444,34,3.423181
222.499648,24,3.431959
436.996921,47,3.453257
381.119753,41,5.15881
296.924489,32,5.172069
343.662768,37,5.189946
390.34739,42,5.209928
250.617238,27,5.221372
297.490203,32,5.233868
503.046708,54,5.254672
353.37049,38,5.274423
362.674803,39,5.29328
269.618621,29,5.305416
259.348486,28,5.316022
325.363407,35,5.332368
305.864308,33,5.345177
269.05961,29,5.356433
315.893467,34,5.368883
306.411344,33,5.384036
306.827027,33,5.399334
222.86162,24,5.409208
372.118339,40,5.424916
203.931908,22,5.436445
353.05203,38,5.451026
259.959869,28,5.462537
287.67715,31,5.47512
353.365674,38,5.493716
278.512495,30,5.508604
418.359197,45,5.525795
240.898419,26,5.535898
250.390436,27,5.550158
455.773087,49,5.569508
334.878487,36,7.308205
361.640954,39,7.324337
222.683593,24,7.338865
278.29825,30,7.351791
268.88017,29,7.362845
250.109795,27,7.37433
325.195456,35,7.396645
269.33734,29,7.410393
213.078705,23,7.422261
166.697825,18,7.430294
259.831193,28,7.446697
325.276372,35,7.460723
241.161756,26,7.470689
241.136375,26,7.480416
241.328208,26,7.496215
222.476505,24,7.508198
222.523168,24,7.517354
381.773159,41,7.53354
260.035193,28,7.548068
231.837214,25,7.557805
185.17648,20,7.565809
446.627518,48,7.583504
306.274616,33,7.599004
370.685301,40,7.618386
269.061983,29,7.630216
278.433893,30,7.641677
222.689117,24,7.655114
437.210625,47,7.673391
241.270126,26,7.683585
372.190295,40,7.698306
269.142857,29,7.715076
316.114119,34,7.72814
222.539373,24,7.738428
417.771337,45,9.457616
344.193387,37,9.475737
371.694856,40,9.496523
241.432141,26,9.507652
223.088196,24,9.516475
213.317426,23,9.530078
203.515103,22,9.540152
380.766062,41,9.556194
306.710149,33,9.568755
221.825137,24,9.582425
409.283268,44,9.602768
259.691531,28,9.614583
269.339868,29,9.625841
231.712623,25,9.639223
296.967049,32,9.65175
259.703201,28,9.663357
259.972238,28,9.673944
371.818423,40,9.691827
259.730036,28,9.702586
241.169927,26,9.718136
231.73136,25,9.727857
287.865984,31,9.743714
381.547525,41,9.760043
278.096389,30,9.771248
306.515975,33,9.783875
296.993476,32,9.799969
315.697037,34,9.812843
232.032403,25,9.823144
194.537297,21,9.833841
232.103459,25,9.846865
