#{"t_start": 1705868920.521753, "env_id": "BipedalWalker-v3"}
r,l,t
-92.004205,124,0.301231
-92.138213,114,0.398509
-91.608542,111,0.487111
-91.674112,114,0.578056
-92.111454,108,0.672483
-91.78717,112,0.759668
-91.193839,118,0.85456
-91.993542,121,0.950241
-91.966294,110,1.040973
-96.47509,119,1.13622
-91.765122,108,1.223632
-91.351786,114,1.310558
-92.057274,114,1.398903
-92.08913,118,1.492524
-91.619817,151,1.610591
-91.815863,110,1.700415
-91.853864,109,1.788402
-91.876767,120,1.882272
-92.066885,113,1.968894
-91.976208,115,2.058409
-92.247805,117,2.149175
-91.392262,122,2.243577
-92.064921,116,2.344095
-92.011698,123,2.442517
-91.915376,115,2.537451
-92.194999,129,2.639697
-92.027946,115,2.731213
-99.623583,111,2.817459
-92.093947,122,2.912094
-92.094925,127,3.008469
-91.844568,116,3.13085
-91.982281,113,3.218095
-100.192978,103,3.301813
-92.144441,114,3.39379
-91.698135,117,3.485843
-92.120996,116,3.576529
-91.937917,123,3.690203
-92.064603,116,3.783318
-91.94427,119,3.878622
-92.17579,119,3.974129
-91.549372,116,4.063647
-91.817195,113,4.154104
-91.920316,119,4.251631
-91.997638,112,4.343124
-91.625203,117,4.447715
-91.797645,113,4.542396
-92.048102,116,4.634149
-91.458013,114,4.722561
-91.407761,109,4.812211
-91.801838,113,4.902332
-91.993402,102,4.98384
-92.022608,113,5.07083
-91.883607,104,5.152727
-91.921546,119,5.247251
-91.546093,119,5.342148
-91.586374,115,5.43339
-99.123496,130,5.533568
-92.13487,131,5.635907
-91.541461,111,5.721426
-91.934582,114,5.810869
-91.797954,112,5.89733
-91.737474,122,5.993901
-92.029901,121,6.090224
-92.023517,122,6.187316
-92.174847,113,6.277556
-92.046844,117,6.372666
-99.852616,166,6.495888
-91.934462,112,6.585761
-91.452394,143,6.693757
-91.905965,126,6.793575
-92.320808,137,6.903071
-92.034365,116,6.99438
-91.57897,119,7.088279
-91.895131,112,7.176431
-92.005696,153,7.297321
-100.086522,110,7.382526
-91.611389,114,7.498529
-92.113059,109,7.591355
-91.489541,113,7.68939
-92.100642,114,7.786482
-91.946372,140,7.898193
-91.898935,115,7.988268
-91.989468,113,8.080779
-91.941184,114,8.175752
-91.420118,115,9.713858
-91.878753,105,10.187038
-91.583185,115,10.316303
