#{"t_start": 1706037255.0115304, "env_id": "LunarLander-v2"}
r,l,t
-435.056487,74,1.534428
-759.567714,76,1.572804
-431.501506,61,1.608101
-214.818454,68,1.643629
-563.248861,69,1.677664
-315.47549,50,1.7071
-601.212189,77,1.745753
-609.33029,64,1.777943
-597.4946,66,1.814128
-516.112716,86,1.857201
-386.043859,53,1.883512
-545.385065,86,1.930427
-239.024919,52,1.965283
-186.646611,55,1.993535
-164.798033,90,2.040742
-110.426634,56,2.068617
-466.997439,97,2.118364
-125.650726,65,2.157217
-437.546106,53,2.184919
-155.730674,63,2.220764
-105.033357,60,2.252235
-139.546402,77,2.288943
-126.714702,69,2.324102
-221.57114,73,2.360477
-705.492562,76,2.407408
-641.508544,82,2.450689
-313.149737,86,2.491409
-346.088607,78,2.532299
-656.404059,76,2.570593
-671.505481,79,2.610045
-586.503396,84,2.654686
-185.586187,56,2.6821
-352.320405,50,2.706623
-686.441904,85,2.751302
-132.198439,61,2.781816
-273.616712,70,2.818273
-853.922671,83,2.869673
-1707.18277,191,2.962012
-302.113151,53,2.988286
-487.285961,66,3.020663
-553.515469,61,3.052943
-528.358064,62,3.084439
-182.109298,62,3.114518
-365.160815,65,3.149928
-310.525375,78,3.191029
-559.033479,75,3.22806
-613.758134,68,3.266073
-845.855538,127,3.326548
-687.230578,74,3.373637
-697.94594,81,3.412297
-180.430774,72,3.448403
-436.71483,71,3.48304
-505.903404,56,3.511091
-374.388892,86,3.555498
-359.628054,79,3.594985
-406.481977,69,3.632044
-459.71525,74,3.67085
-399.268023,53,3.697532
-628.912727,86,3.739045
-547.705093,59,3.771844
-511.109093,86,3.820754
-514.640475,68,3.853234
-595.742127,66,3.889508
-350.545481,86,3.93062
-277.345332,119,3.98929
-255.791102,86,4.031178
-155.285846,75,4.069381
-350.447653,62,4.100466
-159.033908,74,4.137578
-666.506941,78,4.185223
-494.075944,55,4.215646
-192.479629,72,4.24973
-304.922987,51,4.286686
-166.986635,67,4.319425
-144.753064,76,4.35591
-683.642029,74,4.394061
-145.27104,59,4.42365
-193.874586,62,4.454064
-136.837344,72,4.491323
-205.610189,54,4.519163
-135.961609,79,4.556955
-101.853976,74,4.595644
-129.347894,78,4.636178
-142.807527,60,4.665039
-561.798071,62,4.707921
-240.089579,77,4.744981
-128.587573,70,4.778539
-236.179652,81,4.821404
-110.599326,76,4.857236
-427.812003,83,4.899388
-136.184822,82,4.939089
-737.490677,118,4.998458
-353.820419,83,5.039524
-442.595326,71,5.073367
-166.732807,72,5.110793
-90.777272,57,5.139879
-139.538775,63,5.179773
-164.865075,73,5.218934
-147.027671,66,5.251698
-115.13257,54,5.277898
-35.122796,77,5.317878
-369.2632,54,5.345558
-671.755378,77,5.382039
-218.069641,82,5.424071
-158.326349,77,5.461557
-340.024777,51,5.486724
-450.495232,59,5.518064
-166.028189,86,5.55994
-159.178839,52,5.594994
-130.787696,57,5.626648
-265.157034,62,5.664794
-135.97148,59,5.693688
-515.139162,70,5.730988
-651.021388,69,5.766105
-537.578047,73,5.800849
-309.663479,82,5.843012
-142.62148,67,5.875818
-194.279812,81,5.914524
-307.445783,66,5.95014
-148.367727,79,5.987433
-219.949069,52,6.024666
-424.647875,73,6.062056
-160.030258,77,6.098534
-657.134748,70,6.134535
-419.494647,83,6.176181
-143.89627,60,6.20702
-239.226914,69,6.243407
-122.184029,53,6.270387
-300.429579,54,6.297411
-138.868845,53,6.323863
-128.613689,49,6.351608
-548.26375,84,6.393222
-154.66401,63,6.43527
-190.289878,88,6.478599
-130.795997,74,6.514175
-142.327979,70,6.551096
-236.674645,50,6.57726
-118.62864,53,6.603559
-284.844328,81,6.645946
-476.662207,76,6.68534
-595.597774,82,6.724386
-75.265165,54,6.753442
-138.652193,76,6.791732
-172.086969,79,6.889926
-378.194271,84,6.939505
-331.048166,97,6.992456
-281.283183,53,7.019893
-181.068656,73,7.06039
-61.763991,59,7.091766
-183.990801,52,7.118591
-128.901339,58,7.148278
-148.192906,74,7.190313
-94.904279,56,7.219958
-166.863064,67,7.253801
-105.260448,91,7.303857
-54.256581,77,7.343066
-479.275699,66,7.386281
-327.245075,82,7.425535
-252.011768,83,7.467741
-86.69035,52,7.49289
-356.846753,67,7.526558
-205.66158,77,7.562859
-622.376478,98,7.614065
-113.219851,84,7.654658
-138.664767,56,7.684616
-134.96953,54,7.712237
-142.842718,73,7.746605
-149.384461,80,7.787118
-142.132163,92,7.837582
-123.708424,53,7.86255
-149.113504,67,7.896623
-155.466888,73,7.934909
-211.59867,56,7.965287
-28.574362,77,8.005486
-252.521859,112,8.059152
-436.134302,79,8.099614
-174.969205,72,8.136573
-140.158635,62,8.166453
-281.474415,93,8.218247
-415.738394,127,8.277329
-178.692364,67,8.320509
-106.237011,55,8.347146
-146.120928,67,8.378276
-148.211084,76,8.416902
38.298705,68,8.45326
-978.350604,87,8.49839
-152.441159,61,8.527409
-162.174316,53,8.553783
-431.587537,75,8.59049
-157.117957,55,8.619395
-145.7324,78,8.657154
-130.673118,48,8.682951
-171.899142,76,8.730083
-313.187061,94,8.775819
-127.758492,79,8.816979
-131.523204,62,8.847416
-144.711061,69,8.881177
-147.549692,80,8.922744
-115.558617,86,8.966179
-159.284375,65,8.996622
-146.118522,78,9.036946
-162.507883,63,9.06939
-136.481816,83,9.107976
-171.645823,64,9.142346
-213.961401,66,9.185327
-243.767319,81,9.227944
-146.140647,59,9.258029
-493.43174,71,9.292953
-358.000032,66,9.327369
-143.87741,78,9.365586
-151.110546,82,9.404825
-137.696895,68,9.440436
-129.465072,66,9.473727
-147.755004,77,9.509763
-131.621057,82,9.550682
-100.791965,52,9.577513
-204.932667,92,9.633914
-137.338664,51,9.659417
-127.020295,55,9.687676
-101.92059,85,9.730108
-120.130899,67,9.761711
-168.1491,73,9.797652
-118.547307,60,9.825584
-178.978238,66,9.860561
-158.908246,76,9.898175
-93.654008,56,9.925332
-114.044789,54,9.953709
-133.84913,66,9.986167
-249.291464,104,10.046028
-388.506059,51,10.0765
-103.881884,57,10.105217
-179.357868,71,10.138487
-164.995547,75,10.177793
-233.456487,64,10.211593
-144.212665,84,10.255343
-195.247547,74,10.29207
-138.925074,79,10.329372
-146.324753,64,10.362317
-271.197236,95,10.407813
-155.82663,74,10.442283
71.418703,137,10.518863
-549.881144,94,10.566007
-530.00354,287,10.703696
19.823049,82,10.744679
-125.413137,71,10.781965
-164.111077,76,10.819361
-105.139055,51,10.843476
-106.702686,84,10.885809
-108.933151,77,10.923037
-122.357494,83,10.961782
-122.420586,71,10.999506
-140.773443,73,11.034756
-155.014488,69,11.083045
4.342336,89,11.127156
-109.459322,63,11.15795
-133.050784,61,11.191436
-58.923714,50,11.216982
-134.914814,56,11.244415
-148.988204,56,11.271817
-630.014273,82,11.315076
-99.260217,84,11.354801
-135.481016,63,11.387507
-285.100079,86,11.430269
-127.826603,54,11.456537
-292.931046,56,11.496978
-131.420568,81,11.536049
-137.966963,71,11.569679
-149.648317,56,11.600171
-462.216564,126,11.660336
-155.273631,62,11.692913
-122.779762,77,11.73021
-168.925638,66,11.761624
-142.021356,85,11.805969
-127.593195,59,11.835
-276.382774,94,11.879572
-153.602073,58,11.910434
-173.962016,77,11.954365
-138.048455,71,11.987957
-92.112563,69,12.024307
-141.286899,51,12.049782
-98.624566,59,12.07794
-131.363173,72,12.114252
-121.836041,86,12.156156
-110.117893,56,12.183205
-143.56968,64,12.217469
-145.544944,85,12.258982
-176.453917,55,12.289927
-179.409718,81,12.331202
-92.222415,54,12.36469
-247.421593,106,12.41928
-130.450751,84,12.459938
-173.154624,84,12.499305
-139.982867,58,12.5353
-101.022255,83,12.577835
-183.706756,76,12.616965
-131.789235,73,12.652479
-125.448926,88,12.694342
-99.76405,90,12.739024
-168.137821,82,12.780395
-139.241633,89,12.8248
-195.980513,89,12.876843
-106.859154,88,12.918151
-162.524872,75,12.956774
-141.682167,66,12.98931
-160.075276,68,13.021084
-139.331079,83,13.064055
-176.075752,80,13.102569
-182.002361,77,13.141653
-150.818469,61,13.171689
-107.480444,80,13.210993
-121.856872,65,13.245133
-141.448412,88,13.288381
-143.931055,56,13.323608
-164.812604,64,13.358352
-143.266406,58,13.387366
-132.003553,65,13.41802
-121.804936,76,13.456249
-196.623159,89,13.498899
-130.891485,65,13.529549
-192.720713,75,13.566729
-101.417521,57,13.596205
-139.429174,75,13.631351
-104.555487,85,13.674341
-93.774164,56,13.702457
0.998969,64,13.741741
-120.689514,67,13.778452
-160.075384,67,13.810831
-181.947184,83,13.851853
-83.01948,53,13.87755
-112.917534,79,13.9158
-136.854912,68,13.947505
-136.914971,64,13.982492
-169.593257,89,14.024726
-130.414151,89,14.068289
-334.913833,99,14.116182
-172.51028,75,14.152117
-126.126326,85,14.204583
-86.670366,89,14.247199
-115.212153,55,14.281071
-122.786036,75,14.319875
-122.060328,50,14.34371
-155.651332,61,14.374797
-151.402176,58,14.403875
-151.209537,67,14.567628
-210.328153,91,14.61512
-35.780047,90,14.657232
-234.565899,127,14.722727
-141.797152,63,14.752793
-252.671161,92,14.81032
-137.758302,70,14.843544
-128.95094,69,14.875707
-102.772931,56,14.905016
-131.400898,58,14.934371
-122.45894,81,14.972452
-198.432332,81,15.01473
-122.628835,89,15.056877
-141.806964,69,15.09193
-401.341431,85,15.133326
-166.852245,74,15.168059
-138.277867,72,15.20732
-134.386617,85,15.256684
17.029802,92,15.307811
-153.956253,78,15.346174
-110.86588,61,15.375056
-164.5872,67,15.409873
-121.287451,65,15.441842
-154.176949,57,15.469037
-153.67287,65,15.503058
-150.731837,75,15.540252
-95.006004,53,15.566001
-122.230281,65,15.59695
-5.632792,76,15.636781
-137.032819,70,15.678834
-127.111569,81,15.719596
-130.171517,67,15.75178
-268.030108,65,15.783261
-129.88719,78,15.824368
-122.225458,64,15.856139
-138.512327,64,15.88672
-108.792358,60,15.918586
-144.446706,63,15.949825
-6.938545,79,15.98728
-268.940944,98,16.035975
-118.087706,73,16.072402
-140.350403,72,16.119807
-121.087649,51,16.146387
-164.825234,69,16.179483
-181.107647,75,16.21586
-26.506112,70,16.254147
-96.443249,55,16.286371
-177.871651,91,16.333802
-119.329384,72,16.370218
-108.129263,58,16.398162
-145.263837,63,16.431144
1.599903,69,16.465525
-127.786097,78,16.502444
-217.419786,94,16.560231
-132.213062,84,16.599725
-105.246629,54,16.625358
-154.669913,59,16.656061
-92.299807,51,16.682297
-164.85373,66,16.71324
-87.421016,53,16.741742
-138.881168,77,16.779184
-142.753624,56,16.806581
-118.413016,76,16.844928
-76.849936,51,16.870054
-97.269475,55,16.896878
-99.611548,56,16.934444
-187.331119,77,16.975531
-155.210806,70,17.008567
-155.648059,82,17.050534
-115.565124,85,17.09366
-177.340926,67,17.125713
-139.476391,58,17.157138
-120.245364,58,17.185934
-124.569525,57,17.215161
-134.668381,73,17.254195
-116.426305,86,17.297179
-148.881916,68,17.330302
-165.41259,70,17.377785
-135.935792,60,17.406531
-127.107915,57,17.433589
-112.229851,75,17.471448
-91.059192,54,17.498446
-146.583139,65,17.529959
53.835926,68,17.564891
-106.713648,53,17.590709
-260.781285,88,17.635054
-141.939288,67,17.669055
-114.275766,55,17.696606
-121.066087,58,17.724717
-216.240693,87,17.779304
-106.137116,78,17.818759
-99.212647,83,17.857917
-139.730607,91,17.904884
-121.222284,77,17.942005
-125.54868,85,17.984769
-169.837307,76,18.021704
-139.577717,75,18.057468
-143.65086,74,18.096187
-21.299636,83,18.137389
-143.627909,87,18.178323
-110.828892,63,18.214244
-154.335108,74,18.258913
-141.887728,60,18.295231
-133.696539,56,18.323979
-144.135988,61,18.353464
-149.225792,66,18.384195
-533.502248,78,18.425777
-139.532999,59,18.45433
-153.04692,54,18.479613
-124.428121,69,18.515924
-136.384009,73,18.552718
-194.619211,204,18.652377
-159.000025,67,18.684333
-185.359122,66,18.727948
-138.621133,81,18.767004
-141.376654,56,18.794839
-140.639323,63,18.82915
-173.418066,69,18.86224
-160.080373,69,18.894669
-150.839364,74,18.934363
-89.476276,86,18.975112
-130.15747,59,19.002701
-135.984246,73,19.041398
-51.606952,66,19.073887
-86.892419,52,19.098894
-199.473827,74,19.147198
-147.906404,68,19.180103
-105.594934,61,19.212939
-138.158789,70,19.248835
-162.390413,83,19.289902
-122.36688,71,19.326679
10.743863,90,19.370429
-135.657405,61,19.399278
-146.656704,62,19.431247
-110.411641,62,19.462124
-141.822118,67,19.493738
-139.220511,62,19.525572
-150.176891,64,19.565973
-120.825886,59,19.594943
-135.360319,59,19.625713
-83.070186,54,19.652117
-192.184434,68,19.68541
-129.562011,84,19.727208
-133.689968,61,19.756577
-123.139007,74,19.792724
-123.916667,50,19.816797
-192.411838,73,19.854861
-112.682748,91,19.898397
-116.429557,75,19.9366
-132.24401,62,19.975067
-76.338646,78,20.012156
-162.578537,67,20.047244
-120.054756,55,20.074557
-111.362277,79,20.111854
-94.059353,90,20.157571
-167.998908,84,20.197966
2.478395,54,20.225307
-119.85435,53,20.2544
-143.933596,53,20.286038
-122.91207,67,20.318517
23.4003,73,20.35673
-183.490013,84,20.405207
-134.415111,78,20.441971
