#{"t_start": 1706109027.6341586, "env_id": "LunarLander-v2"}
r,l,t
-390.064942,86,0.249353
-691.269892,80,0.298994
-443.366559,57,0.337397
-233.505599,118,0.409391
-433.880633,106,0.476662
-593.160581,66,0.549239
-676.453525,93,0.644022
-959.201049,176,0.774676
-652.803604,81,0.824856
-786.434336,108,0.894621
-1041.77176,154,0.991928
-2645.76141,295,1.23721
-451.574296,59,1.293629
-673.806198,96,1.377659
-447.839976,76,1.441324
-740.356118,89,1.524234
-2781.061428,390,1.923508
-93.422325,57,1.957057
-2426.380041,267,2.119367
-807.507071,148,2.208387
-655.052632,127,2.287036
-124.277498,61,2.323915
-685.111111,91,2.377864
-111.531095,61,2.419426
-389.238604,82,2.468662
-735.950627,105,2.53473
-185.469169,88,2.585881
-455.372098,56,2.623634
-650.918996,73,2.66811
-540.63075,59,2.714186
-981.130347,146,2.849408
-750.971886,75,2.912944
-674.423879,72,2.987005
-641.609091,141,3.102809
-99.918725,62,3.153169
-83.745615,88,3.226164
-568.448689,78,3.29311
-111.535993,52,3.334796
-132.204016,74,3.395664
-114.014207,78,3.453905
33.969114,71,3.512754
-239.650811,77,3.573367
-375.849824,85,3.648763
-590.215897,126,3.768109
-582.949505,63,3.830766
-507.598193,81,3.907743
-655.116501,85,3.983889
-826.166826,77,4.059537
-579.596285,101,4.164901
-269.53149,83,4.250642
-867.579821,81,4.336293
-1138.165735,146,4.480912
-497.75664,81,4.558986
-545.939487,76,4.634604
-134.322932,54,4.690747
-412.388565,87,4.777898
-147.404804,94,4.868699
-653.670837,103,4.967944
-112.909184,53,5.019233
-590.002492,68,5.084301
-430.618434,54,5.13634
-139.437341,74,5.204798
-559.803988,70,5.269337
-120.187396,57,5.325673
-114.393092,65,5.395931
-1079.896534,142,5.530384
-503.545851,110,5.617554
-543.482203,67,5.668112
-509.888694,79,5.728999
-339.910932,62,5.77614
-596.742287,109,5.859827
-1338.09848,186,5.996661
-721.943595,128,6.094903
-106.785292,52,6.1347
-638.806644,122,6.224175
-1008.834965,141,6.342704
-168.995194,76,6.396802
-107.681418,82,6.459325
-464.558258,57,6.500225
-95.522175,57,6.546144
-1573.588627,203,6.695623
-104.972106,53,6.734622
-293.416786,52,6.776816
-140.318083,72,6.826676
-479.107459,70,6.879776
-425.281124,51,6.916338
-133.097098,92,6.983091
-615.556416,92,7.048449
-104.475086,55,7.091758
-546.447224,123,7.181118
-234.121809,52,7.219506
-199.328989,53,7.261354
-97.150954,85,7.324055
-151.400234,69,7.37666
-428.969459,57,7.418894
-97.053889,85,7.48188
-624.096603,105,7.57575
-112.368944,55,7.614853
-258.2205,160,7.738505
-701.410366,106,7.817247
-661.869704,132,7.914151
-151.709385,88,7.981198
-167.594916,79,8.040384
-116.503461,51,8.077352
-581.595987,163,8.203968
-613.378008,107,8.279193
-144.242758,72,8.337547
-167.901209,75,8.393736
-100.707426,56,8.43353
-1009.164715,151,8.543065
-151.954158,56,8.582254
-291.870633,108,8.662677
-225.454061,52,8.711953
-324.908885,70,8.768978
-1391.900755,219,8.930048
-121.043154,90,9.0025
-127.593262,51,9.037376
-149.129419,61,9.075765
-425.243326,75,9.12284
-114.917379,83,9.17433
-625.618492,173,9.280976
-102.933032,53,9.312675
-136.89823,76,9.360849
-326.392894,51,9.391379
-673.641963,81,9.442872
-323.325685,81,9.491715
-162.481193,80,9.541457
-1224.17187,204,9.663855
-121.244523,67,9.710748
-140.910002,83,9.763674
-400.017718,58,9.798586
-139.35214,63,9.839614
-175.028189,130,9.923956
-336.970342,75,9.978402
-147.024865,58,10.031155
-815.001579,161,10.188224
-512.130146,78,10.260346
-122.515484,82,10.346115
-187.365257,87,10.417337
-511.970864,162,10.516511
-19.997011,74,10.56283
-154.503997,81,10.612346
-137.961165,53,10.64409
-142.620891,60,10.682621
-72.624577,76,10.736162
-163.555632,60,10.778355
-111.115349,56,10.815796
-120.955932,86,10.869941
-93.418179,85,10.920444
-511.769363,66,10.960324
-150.806054,76,11.015737
-152.865655,76,11.081525
-613.523728,96,11.165161
-142.881539,65,11.226522
-128.775924,81,11.28783
-330.718139,79,11.339099
-451.784802,75,11.385558
-160.226753,79,11.43433
-143.7835,63,11.471462
-126.306756,60,11.509233
-389.590863,53,11.548162
-538.092692,91,11.606849
16.181438,91,11.661874
-464.150734,99,11.725274
-137.709898,81,15.050202
-32.752274,86,15.11656
-115.023157,78,15.178088
-121.573093,58,15.23059
-159.903374,68,15.286447
-99.254845,52,15.335543
-100.303322,54,15.377444
-163.978367,85,15.441052
-229.36463,67,15.489165
-1040.717989,148,15.634971
-125.247561,70,15.709301
-118.243848,67,15.772842
-114.37758,75,15.859545
-707.381546,217,16.075006
-433.543293,59,16.13852
-282.241632,80,16.210715
-111.288058,90,16.28057
-142.291215,64,16.335352
-293.780646,71,16.390621
-158.782582,73,16.448183
-730.722356,133,16.552158
-126.222702,78,16.608944
-119.973153,63,16.656636
-204.669156,85,16.719818
-306.439944,77,16.783451
-151.257288,49,16.822143
-148.471275,75,16.879281
-128.635541,51,16.916119
-137.109339,63,16.979231
-198.307594,67,17.028172
-130.856538,90,17.095961
-126.799912,62,17.141533
-149.424882,66,17.195146
-177.06779,72,17.247124
-132.539144,55,17.291646
-112.591874,59,17.336022
-1023.240583,187,17.473075
-135.257349,82,17.530839
-127.715999,52,17.571957
-146.089369,73,17.623766
-216.606523,96,17.693929
-145.76191,62,17.741055
-126.564717,80,17.802687
-86.06125,55,17.843079
-114.027528,52,17.891761
-260.762705,97,17.961949
-132.868015,62,18.008969
-121.475355,53,18.055531
-242.486718,51,18.101092
-1017.033154,133,18.202764
-140.419756,67,18.250503
-106.252164,57,18.293852
-114.142544,52,18.333538
-271.863098,193,18.474317
-232.742321,96,18.549866
-119.68242,58,18.595834
-583.906532,101,18.672308
-154.647424,86,18.741529
-482.754283,58,18.78582
-86.128438,90,18.855361
-153.718403,79,18.924503
-101.328199,82,18.987931
-149.432688,67,19.040118
-144.506141,68,19.089981
-653.472009,96,19.159497
-148.86953,60,19.21214
-502.634933,116,19.325353
-137.868896,71,19.385726
-135.530624,56,19.43285
-168.783335,68,19.477403
-118.106897,77,19.525899
-216.485159,54,19.559998
-166.568177,69,19.60321
-152.292988,62,19.64436
-113.777348,75,19.705714
-465.502099,78,19.772616
-127.001304,54,19.82179
-124.487902,60,19.872532
-192.260928,75,19.927315
-148.116516,57,19.973433
-112.875989,84,20.039535
-184.278914,75,20.097291
-121.948428,64,20.149502
-24.403126,69,20.213092
-139.411732,55,20.260572
-83.473313,52,20.301316
-153.808064,90,20.384763
-165.902931,71,20.456632
-85.50985,86,20.533816
-556.9227,81,20.611936
-145.799483,61,20.675528
-140.445792,56,20.73053
-149.382718,54,20.783205
-326.354589,66,20.834843
-181.297046,79,20.901834
-122.730592,71,20.956243
-143.188823,59,21.006822
-94.324105,58,21.051286
-143.156666,80,21.124326
-125.682314,56,21.168709
-136.521002,68,21.225028
-116.698861,81,21.286072
-146.057939,75,21.33393
-134.994796,71,21.376122
-169.590889,70,21.422736
-146.852916,55,21.459588
-172.713577,74,21.520522
-138.294934,84,21.571017
-189.895701,91,21.637137
-120.41528,88,21.691543
-137.080424,69,21.73384
-111.455662,51,21.764357
-118.824128,87,21.817472
-154.241121,81,21.866699
-193.328704,76,21.915356
-271.663332,55,21.949924
-103.507762,81,22.000275
-104.545221,61,22.037532
-143.564356,68,22.078144
-123.951641,59,22.116034
19.321556,93,22.171278
25.328959,74,22.218778
-110.148773,63,22.258213
-142.823316,70,22.301062
-146.470467,64,22.349871
-511.000717,80,22.397355
