#{"t_start": 1706037184.7484045, "env_id": "LunarLander-v2"}
r,l,t
-359.943245,52,1.517727
-269.060404,71,1.556371
-502.4891,55,1.587308
-474.171254,55,1.616629
-432.607823,50,1.643445
-318.771491,61,1.673217
-620.770205,68,1.710545
-551.641832,79,1.750157
-577.301375,61,1.780759
-189.789158,64,1.816034
-464.92411,52,1.842538
-1424.231816,149,1.918528
-410.539566,76,1.967397
-412.818546,48,1.994465
-390.258322,54,2.022388
-830.011309,87,2.065787
-495.58815,84,2.108531
-430.172003,59,2.138469
-520.379208,64,2.169671
-84.186214,54,2.198353
-400.7667,65,2.231477
-688.947167,112,2.286011
-487.23553,60,2.319557
-1264.974905,179,2.408571
-122.787713,82,2.455768
-120.028257,87,2.496902
-173.978238,86,2.541139
-266.011634,64,2.574805
-473.398233,53,2.601031
-531.965127,82,2.643373
-612.990141,106,2.693988
-764.797094,81,2.735375
-694.424791,77,2.776101
-472.543359,55,2.804867
-177.930388,91,2.852186
-498.465306,54,2.878786
-149.993456,54,2.913372
-586.567136,64,2.949973
-232.999813,62,2.982989
-190.417316,72,3.022634
-682.436536,95,3.070498
-109.067905,54,3.096826
-686.607076,85,3.141303
-525.613076,76,3.179027
-391.21144,58,3.208231
-314.506824,50,3.236245
-324.482028,53,3.263653
-616.95943,92,3.308882
-485.97798,68,3.354188
-80.26058,53,3.380555
-134.911889,79,3.4185
-222.551463,79,3.460706
-1890.020767,215,3.573281
-114.546334,87,3.614717
-557.214486,80,3.655779
-182.795598,62,3.686573
-262.083402,57,3.714648
-394.242278,55,3.744145
-169.520952,68,3.777136
-428.026071,57,3.804752
-136.527326,73,3.851248
-453.095398,59,3.881411
-442.201632,60,3.910458
-104.956655,63,3.940154
-153.944575,65,3.975595
-654.850779,77,4.015015
-407.151937,54,4.04429
-175.343736,79,4.086778
-964.896549,94,4.13344
-369.721567,57,4.16446
-872.491085,85,4.207764
-104.558205,78,4.245694
-145.590506,72,4.292776
-272.442817,66,4.325001
-158.237032,81,4.366616
-135.272987,58,4.395731
-3836.464447,275,4.533846
-493.755148,62,4.569387
-1359.317046,205,4.67204
-143.184846,62,4.703844
-449.716981,84,4.745533
18.214009,88,4.790724
-140.759555,58,4.820014
-240.555591,119,4.879255
-599.847951,80,4.9273
-137.39704,65,4.95906
-140.230589,64,4.992812
-158.286897,85,5.034375
-462.30214,76,5.072762
-127.362839,54,5.102525
-259.684955,64,5.13516
-138.634915,71,5.169468
-491.050641,76,5.208828
-1178.752597,225,5.32276
-90.065846,53,5.348708
-490.566649,111,5.405039
-178.309274,88,5.45487
-155.986117,65,5.486078
-138.487575,78,5.526982
-145.519488,76,5.567361
-354.82629,61,5.602315
-382.590685,75,5.639536
-516.835001,85,5.680874
-760.833719,73,5.719617
-966.330673,130,5.782554
-1536.846286,184,5.874844
-126.346766,52,5.899488
-343.116586,83,5.942948
-95.661099,56,5.977418
-140.237318,69,6.014946
-400.972423,82,6.05648
-669.632713,267,6.187738
-102.433478,52,6.213111
-548.20781,61,6.248807
-462.504212,62,6.28034
-374.587034,54,6.306561
-99.461123,88,6.35406
-136.270339,61,6.384015
-338.411379,56,6.411233
-77.564612,74,6.453057
-94.375873,57,6.487518
-320.723675,74,6.523768
-341.998955,49,6.553174
-160.063513,77,6.592748
-134.455283,70,6.625942
-132.625002,57,6.657954
-157.673341,60,6.688502
-138.884478,88,6.730094
-266.620407,73,6.771076
-330.603904,61,6.801097
-132.516751,62,6.830852
-186.46857,70,6.870253
-95.669666,58,6.905035
-114.96686,57,6.932854
-327.488737,85,6.978991
-584.352255,79,7.018548
-152.210251,72,7.058629
-138.30324,85,7.10041
-320.54404,206,7.206931
-147.924999,64,7.238863
-121.868653,69,7.27758
-92.726532,53,7.30466
-125.997003,59,7.332993
-535.759492,81,7.375304
-446.165734,58,7.411103
-135.868292,54,7.437499
-128.869171,60,7.471339
-366.921921,81,7.511313
-439.247352,76,7.548482
-176.638489,88,7.598861
-606.050499,65,7.631278
-201.489968,87,7.675777
-361.732218,98,7.728377
-151.598699,64,7.760652
-108.16006,57,7.801636
-241.34431,66,7.837669
-170.094766,63,7.875989
-149.133298,59,7.918605
-129.4854,69,7.954342
-1081.817804,149,8.040863
-753.811337,152,8.123527
-757.764841,95,8.173003
-209.589762,74,8.210186
-131.252325,55,8.244988
-377.877657,80,8.284722
-324.281377,57,8.312716
-156.712639,65,8.34781
-103.81434,60,8.377946
-109.257561,60,8.414446
-143.542245,66,8.449379
-171.942153,62,8.480316
-120.51955,56,8.50686
-253.682782,70,8.543632
-459.580183,77,8.585583
-138.321513,65,8.61686
-204.125013,80,8.658613
-214.689637,73,8.695938
-124.028568,73,8.734713
-123.698617,75,8.777894
-3389.894541,254,8.906018
-375.607957,86,8.959892
-98.244661,57,8.988378
-310.247381,89,9.029802
-268.189977,56,9.060102
-134.83406,58,9.088707
-123.033696,60,9.11741
-360.294518,97,9.168354
-180.404506,69,9.202353
-148.983795,71,9.23566
-128.722896,51,9.264504
-86.815236,63,9.295907
-135.843577,60,9.324141
-14.509279,77,9.373157
-161.15796,78,9.411591
-131.319312,61,9.440249
-226.550927,66,9.475144
-351.282091,76,9.512319
-85.926914,62,9.542385
-378.604751,94,9.590941
-256.639485,72,9.62615
-135.444326,57,9.654227
-151.548756,87,9.697863
-391.14243,80,9.736145
-124.079066,52,9.761315
-113.534645,84,9.813011
-27.067784,55,9.839236
-405.203903,86,9.882338
-133.996796,56,9.909836
-396.81578,71,9.94357
-463.397009,62,9.973809
-116.535698,52,10.002492
-359.428177,68,10.035938
-380.356996,76,10.07179
-135.795358,53,10.10055
-513.166696,75,10.138885
-287.240534,75,10.175371
-145.594073,87,10.227312
-259.884575,60,10.257477
-152.696041,76,10.296381
-118.558692,76,10.333034
-231.33679,74,10.368565
-71.297231,68,10.40395
-116.361901,57,10.432149
-185.444601,91,10.474941
-153.333037,62,10.507565
-243.320216,63,10.539185
-140.164349,89,10.582447
-159.48855,76,10.620914
-190.793323,79,10.668442
-144.493442,73,10.705715
-104.707784,59,10.734527
-196.604552,80,10.773535
-231.888917,54,10.802097
