#{"t_start": 1706037825.0240068, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
409.40039,44,0.617346
278.426837,30,0.634074
334.746744,36,0.654053
418.467509,45,0.674592
315.784754,34,0.696388
344.032238,37,0.711267
277.893915,30,0.723483
250.494177,27,0.733932
325.534268,35,0.750453
194.27385,21,0.758065
222.379104,24,0.767446
269.020992,29,0.777899
409.183607,44,0.803851
324.603007,35,0.817798
204.154079,22,0.825954
297.768845,32,0.83854
297.263686,32,0.854187
223.008357,24,0.863023
353.213096,38,0.877059
222.888211,24,0.886226
269.52753,29,0.900409
297.176412,32,0.914078
297.309309,32,0.92852
269.259338,29,0.939936
343.819984,37,0.957195
241.394119,26,0.96739
353.278828,38,0.981419
194.572328,21,0.989179
278.536307,30,1.004103
222.593458,24,1.012862
380.560891,41,1.032744
306.550759,33,1.044975
371.771787,40,1.063276
259.923614,28,1.074073
297.350089,32,1.08619
428.090372,46,1.103025
222.646861,24,1.115436
278.842838,30,1.126057
287.821284,31,1.140434
269.147549,29,1.151475
222.417416,24,1.164531
250.581928,27,1.174362
241.262319,26,1.184406
390.536065,42,1.199801
278.278291,30,1.213972
389.980227,42,1.22933
231.829694,25,1.239147
185.425543,20,1.250621
260.079632,28,1.264491
324.753002,35,1.27726
371.717223,40,1.292227
213.015374,23,1.301545
269.814679,29,1.316664
240.953843,26,1.327777
259.711607,28,1.338796
343.731109,37,1.352854
185.083533,20,1.366646
231.751718,25,1.375669
269.099144,29,1.386595
306.675475,33,1.399003
259.709888,28,1.412322
297.320458,32,1.424091
213.320814,23,1.432667
296.897368,32,1.444304
400.035626,43,1.46557
325.219819,35,1.482164
361.811934,39,1.496613
268.615668,29,1.508322
474.56189,51,1.531162
296.967034,32,1.543272
259.492499,28,1.554503
259.821523,28,1.565713
221.992058,24,1.578581
306.772699,33,1.593313
426.955754,46,1.610338
241.454625,26,1.620938
203.967509,22,1.632545
259.853916,28,1.642393
269.46775,29,1.653106
279.071088,30,1.664641
269.262806,29,1.678455
