#{"t_start": 1706063644.7271237, "env_id": "LunarLander-v2"}
r,l,t
-680.666528,67,0.226728
-303.528809,53,0.259364
-789.649371,80,0.306444
7.641692,106,0.372871
-836.569766,91,0.533587
-793.924177,82,0.610363
-449.213002,55,0.66416
-132.728127,63,0.707434
-783.494934,81,0.766705
-343.622432,87,0.817032
-861.038637,83,0.870553
-337.137419,55,0.903773
-298.284506,51,0.946568
-162.187396,76,0.992343
-606.011619,64,1.04564
-947.362441,142,1.163201
-128.450807,56,1.213259
-127.571434,53,1.259621
21.501376,215,1.428503
-145.213107,81,1.494663
-591.823278,62,1.549196
-577.058832,61,1.606448
-143.840599,69,1.659351
-200.614822,90,1.730399
-107.507087,63,1.79015
-112.929614,55,1.833393
-123.591312,71,1.87802
-206.812975,127,1.951861
-138.84071,90,2.015269
-369.417598,56,2.048322
-794.280965,79,2.098262
-102.693035,88,2.149603
-181.938523,72,2.201745
-211.738506,89,2.256494
-771.355382,84,2.307647
-95.179088,86,2.359836
-181.643741,63,2.407749
-142.29913,66,2.447964
-114.414751,64,2.485042
-87.850173,54,2.520079
-126.853957,69,2.567336
-98.072279,82,2.619369
-149.782459,62,2.656582
-960.673142,84,2.709055
-997.150032,87,2.766528
-137.166693,58,2.804843
-123.379134,68,2.853076
-999.103057,85,2.902527
-139.276756,56,2.954345
-111.878924,60,2.989059
-115.008342,76,3.038587
-170.662878,72,3.081607
-161.14039,75,3.140094
-160.707138,64,3.178898
-122.544226,54,3.210643
-172.222372,81,3.261184
-141.362177,67,3.305883
-397.012181,52,3.343277
-178.69302,82,3.390717
-122.045243,73,3.437834
-144.705711,58,3.477343
-134.37613,61,3.512645
-624.469024,75,3.561537
-126.431736,56,3.594837
-533.180144,82,3.659011
-106.161256,62,3.695019
-125.231064,70,3.735655
-110.545792,56,3.771246
-129.394839,52,3.808001
-182.15019,73,3.854507
-167.691508,76,3.898972
-151.719025,71,3.939789
-140.630286,64,3.98594
-148.603994,58,4.019239
-7.66717,77,4.065876
-726.990466,109,4.130546
-103.974214,85,4.19016
-138.467559,79,4.237125
-114.319854,83,4.288729
-858.362919,121,4.361178
-85.989488,52,4.39955
-152.03929,56,4.432003
-100.578287,61,4.469544
-554.850912,65,4.508231
-189.122103,72,4.556452
-108.457807,84,4.608826
-100.572115,53,4.640526
-210.622785,80,4.690812
-122.515832,89,4.750228
-651.225948,103,4.814746
-151.479706,87,4.864909
-140.822428,65,4.906944
-125.469076,70,4.953784
19.723085,119,5.02768
-141.85947,57,5.061407
-126.407846,48,5.093439
-159.473284,59,5.134238
-128.463498,61,5.169263
-143.415041,64,5.210656
-186.50641,81,5.257957
-551.753012,78,5.314074
-118.966252,60,5.351332
-228.559707,53,5.381931
-130.722892,65,5.423435
-147.703421,73,5.472827
-139.643342,60,5.510503
-149.047559,62,5.54985
-132.727169,69,5.595006
-160.347813,69,5.642986
-560.17852,85,5.694062
-102.688458,53,5.730901
-115.099332,57,5.764439
-116.467625,76,5.822874
-361.951636,79,5.870785
-148.061018,67,5.916132
-126.189623,75,5.960545
-121.774716,62,6.003698
-118.849815,74,6.05238
-148.407256,79,6.098428
-142.335566,76,6.145781
-612.325478,74,6.196786
-58.220582,95,6.256062
-121.07092,89,6.308933
-116.292072,56,6.345676
-1653.00022,246,6.498828
-144.912116,68,6.541759
-164.846061,75,6.585473
-115.557374,77,6.632877
-162.642162,65,6.676683
-144.662932,66,6.716777
-97.171989,53,6.751362
-141.122762,62,6.788422
-788.797834,86,6.851055
-376.083043,86,10.258132
-183.823266,80,10.311473
-174.834533,75,10.356806
-95.244642,64,10.40424
-129.581338,78,10.449243
-141.333703,62,10.489236
-169.276254,71,10.531579
-117.781509,77,10.588981
-665.308576,93,10.644458
-166.114992,69,10.687187
-110.558809,54,10.719456
-145.759206,62,10.762719
-237.204978,76,10.810893
-123.831511,51,10.857944
-130.765092,59,10.909065
-199.513379,84,10.986742
-50.50295,108,11.055448
-167.405055,74,11.101377
-134.555757,76,11.147439
-237.560194,60,11.189635
-547.152094,85,11.244695
-141.339312,64,11.281443
-141.191115,69,11.324382
-183.68407,91,11.385427
-128.225202,72,11.430142
-713.63638,85,11.481392
-165.329404,85,11.544073
-159.733505,74,11.595002
-280.673281,88,11.664245
-135.193303,69,11.706039
-89.629606,88,11.760692
-584.958008,62,11.805644
-799.58028,91,11.865629
-161.750138,79,11.910506
-166.89186,67,11.95372
-109.240192,53,11.991055
-634.436821,92,12.050225
-140.142174,76,12.095418
-161.499176,70,12.139817
-143.668913,56,12.177952
-489.866146,79,12.225237
-330.885992,94,12.283818
-170.318082,79,12.328955
-121.783206,56,12.373214
-622.283371,78,12.419412
17.930797,88,12.474893
-124.660695,85,12.523537
-116.994126,58,12.569765
-176.366552,90,12.622821
-145.09418,61,12.665225
-138.02307,71,12.711373
-220.730707,93,12.779394
-97.706143,89,12.831485
-135.30917,53,12.870042
-552.864307,74,12.917685
-987.893054,115,12.997109
-170.117715,76,13.041402
-105.484187,78,13.090468
-106.499315,83,13.139584
-283.495061,77,13.196382
-5.768487,70,13.238345
0.878687,97,13.298044
-148.627991,59,13.33384
-108.319744,79,13.391007
-170.160277,85,13.442998
-140.032593,68,13.485043
-154.142034,63,13.522521
-646.351842,77,13.574944
-157.979541,87,13.628876
-150.641266,55,13.661571
-89.754273,55,13.696587
-659.7033,79,13.749596
-119.978578,56,13.781825
-122.704374,57,13.81888
-147.928546,83,13.86877
-177.565714,87,13.930194
-105.67854,58,13.963718
-530.782376,75,14.010869
-238.092163,91,14.064773
-119.871851,67,14.113951
-174.237216,87,14.166495
-134.039643,68,14.20889
-672.662458,82,14.259345
-151.114378,73,14.313495
-100.792921,54,14.34875
-125.051698,67,14.387215
-190.822171,88,14.442789
-457.972799,64,14.48694
-219.737093,89,14.543294
-147.250284,57,14.577295
-105.831955,52,14.608208
-519.982169,56,14.651833
-488.003534,82,14.700345
-585.332946,85,14.753452
-461.031777,86,14.804864
-137.192441,64,14.852595
-93.424325,57,14.886178
-523.069076,66,14.926879
