#{"t_start": 1706060526.4372091, "env_id": "LunarLander-v2"}
r,l,t
-654.983366,162,0.333185
-510.959932,62,0.376637
-554.255463,61,0.418331
-1559.095398,205,0.617111
-771.264603,81,0.695242
-659.419631,69,0.741882
-528.035334,65,0.786637
-417.005097,59,0.826271
-428.459051,51,0.939959
-424.115623,52,0.977515
-765.097991,83,1.041709
-458.871524,52,1.09087
-747.132946,78,1.161385
-113.799452,66,1.222443
-535.561197,56,1.272073
-699.731077,79,1.342571
-539.369692,61,1.405048
-283.386572,91,1.481878
-508.1288,58,1.535616
-394.138173,90,1.615615
-278.773197,51,1.661399
-730.672797,81,1.735245
-543.409125,74,1.803525
-365.758843,90,1.873198
-703.940226,80,1.937721
-472.256965,58,1.975668
-292.030912,53,2.012553
-534.343294,61,2.052453
-473.898821,61,2.091212
-627.78125,63,2.134254
-427.324524,54,2.170927
-657.321687,75,2.222609
-466.740562,52,2.262448
-138.320904,61,2.301531
-618.190953,81,2.358537
-2213.315262,288,2.544686
-737.026949,80,2.597288
-549.79109,74,2.647919
-705.562399,82,2.702499
-185.643825,88,2.759475
-121.370244,68,2.810428
-514.22966,68,2.857791
-500.16933,58,2.896823
-515.060127,59,2.937085
-667.577948,64,2.978263
-683.279871,77,3.028477
-584.643276,69,3.0761
-655.632383,61,3.115688
-568.013753,59,3.164369
-395.133206,51,3.197076
-1457.858563,203,3.3253
-504.061599,69,3.373784
-815.933453,81,3.428094
-748.53877,140,3.521231
-503.524715,57,3.560973
-561.765956,112,3.638005
-630.052201,73,3.696085
-162.045046,66,3.736982
-62.34062,68,3.783396
-496.903108,68,3.829339
-572.419193,78,3.880313
-440.72709,51,3.914427
-571.19271,69,3.95877
-653.118609,74,4.009987
-763.295346,86,4.07445
-432.389955,78,4.126332
-151.93771,81,4.17935
-649.020963,64,4.222755
-142.595601,71,4.266994
-305.28776,50,4.303349
-835.827457,83,4.356663
-529.54863,67,4.401821
-587.275733,76,4.457662
-362.990347,64,4.500986
-902.474331,130,4.585897
-594.895745,62,4.627013
-146.711544,59,4.665874
-186.209904,83,4.7213
-118.579847,66,4.762845
-111.933903,61,4.803799
3.072292,94,4.868212
-117.011484,66,4.911745
-508.227861,75,4.96012
-683.225423,73,5.008883
-367.235081,93,5.070241
-545.389752,61,5.111734
-45.328602,84,5.166254
-823.776722,81,5.220383
-765.756589,82,5.281943
-244.032238,58,5.321503
-135.019044,58,5.36048
-91.367436,55,5.395204
-96.434197,58,5.435956
-121.090151,66,5.478508
-483.239286,58,5.519081
-405.946522,78,5.568943
-799.07109,85,5.635616
-324.159445,96,5.696896
-564.356899,61,5.738814
-704.267801,82,5.792167
-129.127009,57,5.830161
-268.529864,84,5.885259
-204.691401,89,5.942897
-663.510322,67,5.988096
-370.801061,52,6.032232
-122.152488,53,6.067766
-167.923127,71,6.111947
-132.287739,72,6.159865
-117.241445,83,6.211814
-134.601668,85,6.269707
-556.578763,70,6.315534
-289.005642,53,6.352164
-128.477376,57,6.394939
-128.948752,79,6.447863
-138.474291,83,6.500522
-113.782509,77,6.551946
-141.38847,83,6.60506
-771.972331,113,6.680574
-201.803645,84,6.734182
-577.587593,71,6.783012
-474.801701,70,6.835063
-98.591005,55,6.873065
-738.164386,74,6.92094
-346.516093,50,6.95568
-61.019344,59,6.993737
-232.432793,90,7.052706
9.977859,95,7.114277
-163.869524,77,7.165087
-127.184111,74,7.217247
-123.320367,56,7.25533
-167.506617,88,7.312281
-647.102983,121,10.70308
-98.290692,52,10.736015
-113.608029,66,10.781481
-603.289793,72,10.829105
-130.216481,57,10.868436
-210.391729,57,10.911223
-1.537268,95,10.97272
-797.705094,82,11.026491
-589.435151,83,11.082191
-186.621481,67,11.126759
-439.080251,91,11.187765
-1049.589974,136,11.308627
-152.087708,70,11.37996
-487.893345,90,11.446986
-139.691751,72,11.494061
-571.373964,74,11.541902
-520.660761,75,11.590762
-104.876628,65,11.633043
-775.080091,84,11.689051
-120.921883,78,11.738618
-432.253703,97,11.803238
-169.497931,80,11.862571
-1136.508207,143,11.955673
-140.116399,79,12.008104
-472.588442,78,12.05831
-440.205791,83,12.113093
-567.378067,60,12.15257
-388.315796,59,12.192739
-142.407106,73,12.240179
-72.324432,72,12.296004
-160.627769,72,12.342721
-209.336078,86,12.400462
-476.308814,74,12.449358
-773.541811,85,12.506645
-1044.059385,160,12.609428
-435.64845,80,12.663275
-133.477864,61,12.701417
-136.861653,62,12.751951
-140.058898,79,12.801084
-162.695424,75,12.852902
-643.539855,88,12.908291
-668.511109,112,12.982532
-731.252097,122,13.063416
-541.869891,74,13.110652
-135.212002,66,13.155322
-103.975077,78,13.211274
-151.034141,71,13.259734
-177.047827,83,13.31246
-129.567821,84,13.369295
-213.272691,75,13.416713
-213.402363,88,13.476176
-144.755563,85,13.533656
-571.897141,60,13.573651
-185.484333,89,13.639925
-589.2961,87,13.696347
-118.694206,54,13.730634
13.539429,69,13.778009
-159.245608,76,13.825406
-100.20289,89,13.884642
-96.285203,54,13.919008
-138.927928,70,13.965493
-1681.209547,150,14.071876
-128.069851,57,14.109834
-147.028278,58,14.14911
-396.500102,63,14.190146
-141.87335,65,14.231227
-160.037762,82,14.286684
-214.250735,89,14.343374
-100.934452,50,14.379185
-409.554998,80,14.437519
-112.604564,54,14.475234
-118.316522,53,14.510915
-123.055879,85,14.565706
-327.802653,51,14.599141
-146.972533,65,14.640993
-122.775561,55,14.678495
-175.103367,75,14.727266
-826.60078,139,14.827303
-134.891876,66,14.871364
-194.36998,78,14.921157
-614.324842,195,15.044055
-194.395186,89,15.103114
-127.382774,63,15.144644
-522.826942,86,15.203283
-120.08836,53,15.238174
-1197.420125,170,15.356873
-227.54473,85,15.413695
-160.005503,87,15.467841
-798.783885,84,15.525812
-145.90255,85,15.579433
-64.090285,54,15.618912
-139.163457,52,15.652368
-88.022139,56,15.687362
-88.641212,54,15.73173
-178.351842,75,15.77884
-133.749508,56,15.817901
-145.498049,79,15.868766
-466.610674,79,15.920614
-521.569104,81,15.974555
-146.993457,76,16.025795
-166.334011,65,16.06885
-147.346481,75,16.127112
-114.204037,54,16.16272
-112.272406,52,16.195205
-143.157377,58,16.235596
-128.030711,63,16.275609
-128.249735,64,16.318476
-165.668531,71,16.366556
-135.331129,84,16.421662
-149.763456,69,16.471164
-150.70173,54,16.50528
-124.90075,85,16.562241
-145.622213,87,16.618692
-1088.578841,147,16.711821
-126.904174,71,16.760246
-930.038784,135,16.846835
-127.065883,67,16.891146
-150.547029,74,16.947859
-291.598567,81,17.000184
-184.910532,75,17.050234
-124.753145,80,17.10143
-313.624295,83,17.156217
-104.2879,83,17.210703
-289.063727,56,17.249812
-155.011625,59,17.288969
-166.825943,72,17.344705
-577.514357,61,17.386044
-154.070747,70,20.794837
-108.29945,64,20.839047
-732.756015,102,20.905512
-126.02682,64,20.947622
-137.38743,87,21.003659
-173.1203,83,21.057876
-315.43813,84,21.119825
-121.899849,61,21.160513
-105.613836,86,21.215949
-132.349857,58,21.254701
-145.169152,86,21.311329
-107.506376,59,21.351335
-111.01877,57,21.389545
-147.659633,74,21.435663
-138.935587,86,21.499988
-147.419161,70,21.543125
-108.361942,57,21.58394
-970.378136,145,21.677032
-110.621103,86,21.733968
-129.248223,52,21.769292
-159.302895,62,21.810264
-104.592666,54,21.844603
-555.791202,63,21.896034
-155.87349,91,21.952583
-153.786713,76,22.003969
6.216192,57,22.040135
-131.375918,52,22.075843
-109.653605,79,22.128379
-134.598663,76,22.177786
-271.488596,68,22.222535
-138.06331,70,22.277877
-134.850464,75,22.326658
-78.803945,52,22.360234
-152.287066,75,22.411119
-120.256121,60,22.449326
-146.86403,65,22.493443
-113.140782,51,22.527679
-153.697284,78,22.57949
-178.397428,87,22.642475
-560.030578,73,22.691972
-359.079052,53,22.727131
-290.374643,88,22.784968
-528.503932,58,22.823092
-179.419279,65,22.864438
-132.69083,58,22.902946
-104.370857,52,22.938048
-154.456664,62,22.988124
-110.221334,89,23.045854
-109.390907,83,23.1008
-126.184772,56,23.137762
-123.475977,61,23.17668
-152.252876,60,23.218207
-131.258722,82,23.27104
-81.597101,80,23.325621
-129.316093,66,23.375985
-132.403397,63,23.418183
-105.349368,52,23.453106
-111.083811,78,23.504315
-134.971921,71,23.549978
-675.137404,79,23.600236
-127.883437,53,23.637484
-287.927051,84,23.692042
-111.28066,56,23.737616
