#{"t_start": 1706062581.4459038, "env_id": "LunarLander-v2"}
r,l,t
-132.100091,53,0.216608
-150.648108,69,0.258554
-283.699131,69,0.298805
-146.156176,56,0.334754
-135.265047,85,0.38552
-485.109791,77,0.433148
-439.794463,83,0.485632
-110.23712,52,0.53001
-154.080956,68,0.678426
-118.932077,62,0.714958
-33.391122,81,0.766674
-137.379454,53,0.798175
-126.256122,59,0.836336
-328.774481,49,0.867592
-584.135266,84,0.916784
-336.205393,50,0.949205
-524.826296,62,0.991878
-659.546459,74,1.05356
-120.46086,73,1.114595
-123.647083,58,1.166493
-107.587595,80,1.229296
-118.647903,62,1.281747
-417.715093,48,1.320422
-10.805695,83,1.389963
-442.257186,52,1.438442
-319.23409,96,1.516712
-686.939685,72,1.576634
-113.850754,61,1.624842
-108.166066,55,1.671188
-103.626804,90,1.743095
-151.957241,84,1.813893
-114.870258,90,1.874538
-158.094196,66,1.91905
-106.964359,52,1.949931
-510.559523,70,1.994914
-83.862954,87,2.04522
-496.937693,76,2.093638
-107.385343,77,2.140278
-124.703963,57,2.176067
-234.103569,81,2.22888
-24.659508,64,2.277838
-79.957116,83,2.328048
-162.021001,71,2.369702
-153.043402,75,2.418641
-95.27022,84,2.466815
-111.413863,91,2.523136
-134.643125,55,2.5552
-119.004221,76,2.6032
-111.60861,88,2.659473
-139.488523,61,2.697508
-181.927628,90,2.751282
-472.178813,70,2.794236
-95.756688,85,2.846187
-158.098732,67,2.884789
-119.685818,76,2.933516
-155.762315,68,2.972631
-96.388044,60,3.018758
-171.741145,87,3.068726
-130.761432,67,3.110007
-152.644254,86,3.159618
-166.106936,89,3.214024
-160.597983,57,3.248817
-149.943434,83,3.297925
-793.919367,75,3.345574
-156.035937,61,3.387413
-150.792091,82,3.438559
-207.49644,83,3.486603
-400.981984,75,3.533295
-118.032938,62,3.570244
-124.659121,91,3.626705
-102.440994,58,3.661856
-93.108606,55,3.694217
-140.572217,62,3.741176
-148.126215,54,3.773091
-161.000873,64,3.810191
-130.06169,69,3.854166
-111.914268,65,3.891764
-104.154999,79,3.939676
-118.951528,67,3.979297
-193.011367,87,4.032309
-279.811704,62,4.076357
-184.719543,80,4.122546
-129.081195,85,4.174925
-106.476875,58,4.208623
-150.991247,87,4.263057
-127.102891,64,4.300232
-151.316584,59,4.337425
-121.496659,81,4.385562
-350.596052,53,4.423719
-161.960088,77,4.473303
-98.596476,52,4.5039
-184.833626,70,4.546411
-262.202021,94,4.603076
-128.405243,81,4.652214
-130.753757,84,4.702073
-271.095598,57,4.735296
-332.145728,54,4.780062
-398.179812,54,4.817742
-150.145039,84,4.876921
-385.587188,78,4.928182
-132.781903,66,4.975412
-101.142851,53,5.008763
-55.035684,81,5.058667
-125.757122,59,5.09464
-210.190595,77,5.145963
-123.104939,83,5.198114
-119.980242,66,5.238024
-126.809842,58,5.274683
-142.987528,52,5.306518
-477.413961,78,5.35153
-132.835922,63,5.391169
-201.665618,53,5.422414
-129.845902,57,5.465269
-255.932031,69,5.50794
-150.547448,54,5.539847
-318.125105,87,5.594307
-217.35602,76,5.639201
-401.129918,76,5.686087
-113.469115,54,5.718529
-173.230487,68,5.759164
-337.091305,61,5.805866
-140.740714,85,5.85445
-167.710606,71,5.897709
-109.145066,62,5.935113
-343.961328,59,5.969097
-163.752641,63,6.008667
-118.604514,63,6.044931
-525.548611,79,6.093185
-553.466256,66,6.138584
-353.411219,75,6.18534
-357.00792,97,6.243677
-134.609146,79,6.291338
-153.356039,61,6.328362
-139.016078,53,6.359323
-150.953857,57,6.395332
-632.549216,79,6.442384
-342.051865,76,6.497152
-495.456527,82,6.546265
-125.6793,59,6.582177
-137.031652,84,6.636023
-131.291979,86,6.6853
-225.43249,56,6.721412
-445.632007,85,9.850202
-99.356874,52,9.884588
-94.846252,51,9.922184
-276.153867,78,9.967454
-143.725375,75,10.013768
-152.038204,56,10.047443
-144.956431,82,10.097684
-387.447674,77,10.143724
-311.18219,53,10.175429
-147.266697,86,10.228512
-124.414332,60,10.272464
-360.073038,84,10.325382
-217.673688,81,10.374202
-491.974215,73,10.460882
-154.653318,60,10.518729
-149.93887,63,10.566991
-413.728809,64,10.608744
-199.8721,88,10.661084
-198.720916,85,10.721148
-148.875266,52,10.753369
-138.62188,74,10.795264
-141.695418,59,10.831776
-128.060958,79,10.8782
-120.489049,59,10.915164
-155.394699,79,10.961065
-147.742871,86,11.013527
-309.723775,60,11.055712
-491.52444,61,11.092757
-504.182203,63,11.13157
-159.221266,63,11.169627
-56.3241,78,11.214696
-119.617559,83,11.267382
-149.978734,63,11.30404
-307.873379,81,11.354437
-139.895973,76,11.404259
-111.081484,55,11.440382
-303.895002,56,11.474381
-143.407553,55,11.506827
-129.268175,56,11.5417
-147.844656,72,11.584479
-141.049325,58,11.619004
-233.67073,92,11.677836
-147.745544,77,11.728879
-155.513369,83,11.781353
-261.323211,52,11.812842
-124.641826,79,11.861957
-137.91064,83,11.911633
-60.461633,51,11.944324
-86.416685,52,11.975581
-86.283587,55,12.008171
-139.675195,73,12.060655
-152.151708,77,12.107103
-91.489404,57,12.140468
-143.77401,59,12.178297
-170.485893,77,12.222517
-142.930473,85,12.274946
-167.827348,57,12.309736
-113.536709,70,12.353595
-110.881904,75,12.405641
-133.759898,91,12.460924
-147.522397,64,12.499732
-96.063667,72,12.541117
