#{"t_start": 1706115805.4887798, "env_id": "LunarLander-v2"}
r,l,t
-438.333512,51,0.290519
-512.675259,81,0.356308
-683.135936,73,0.422343
-1263.130175,208,0.626901
-772.698519,127,0.732361
-766.613441,143,0.844363
-673.726989,141,0.973878
-433.063532,82,1.044213
-488.933241,85,1.126502
-743.317387,93,1.228672
-465.880291,85,1.329174
-323.502559,56,1.400171
-470.190204,62,1.471553
-946.990651,174,1.632782
-517.209081,64,1.692714
-756.273895,80,1.764115
-798.8288,103,1.948456
-542.850776,102,2.037969
-564.453427,75,2.095787
-478.946816,76,2.157143
-431.613612,81,2.226423
-325.102794,49,2.275438
-532.092613,98,2.363866
-236.001546,108,2.471232
-468.510101,76,2.544388
-532.564564,72,2.608008
-461.729906,106,2.706139
-333.833832,56,2.762127
-737.902176,162,2.913822
-523.377866,93,3.00575
-1599.775133,211,3.201096
-243.446392,84,3.26723
-360.04629,114,3.366028
-342.95417,64,3.41675
-451.249994,57,3.464296
-267.290694,120,3.560312
-909.344514,162,3.688105
-450.638539,61,3.735893
-237.126647,99,3.825513
-429.722015,79,3.899206
-1269.466897,186,4.062042
-541.718741,76,4.126164
-1371.044084,205,4.290266
-729.669805,101,4.369014
-449.076096,101,4.451025
-187.869525,111,4.53945
-469.349814,76,4.600012
