#{"t_start": 1706159714.036598, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
288.154567,31,0.602452
492.82132,53,0.631534
409.496707,44,0.651371
390.928968,42,0.670462
241.281029,26,0.691091
296.955408,32,0.705841
398.827756,43,0.723459
232.035209,25,0.733828
315.995959,34,0.74996
278.337325,30,0.761322
268.951721,29,0.772064
231.640006,25,0.782552
343.838212,37,0.802247
352.953361,38,0.820649
418.878,45,0.837722
194.59859,21,0.84596
278.50155,30,0.860197
521.437145,56,0.882739
269.177992,29,0.893523
334.688231,36,0.907252
418.741214,45,0.93321
297.323983,32,0.94529
231.698433,25,0.955221
325.159913,35,0.969753
269.374455,29,0.985311
250.564873,27,0.995168
353.044088,38,1.009945
203.605838,22,1.018674
222.495312,24,1.031161
418.862923,45,2.727012
250.892667,27,2.73796
269.096287,29,2.748675
269.13621,29,2.766645
213.343222,23,2.780099
222.943768,24,2.791776
306.380583,33,2.805027
297.0259,32,2.821027
316.398853,34,2.834408
456.787083,49,2.855582
222.45258,24,2.864865
259.38658,28,2.886415
287.817042,31,2.898607
353.109048,38,2.912748
222.386067,24,2.922881
325.250272,35,2.939608
473.615029,51,2.958765
231.944564,25,2.968421
362.232876,39,2.982662
259.67519,28,3.000483
352.928744,38,3.014075
511.49869,55,3.036268
222.627912,24,3.045057
259.945121,28,3.05869
222.8143,24,3.068227
409.390526,44,3.084549
371.446525,40,3.09909
297.105457,32,3.117188
400.046089,43,3.133873
521.02846,56,4.721118
250.367641,27,4.732785
222.614874,24,4.746277
269.297237,29,4.757244
306.539348,33,4.770655
297.458049,32,4.78357
213.286512,23,4.795042
287.971722,31,4.812612
437.307797,47,4.830956
268.479353,29,4.841879
231.89678,25,4.855928
278.570234,30,4.868167
297.010912,32,4.880518
241.198953,26,4.889884
213.117238,23,4.903861
259.815359,28,4.915539
241.297696,26,4.927667
325.181164,35,4.941102
278.870589,30,4.956388
306.818893,33,4.970955
297.321928,32,4.984107
259.808806,28,4.99422
250.441019,27,5.018614
306.663896,33,5.066209
241.268725,26,5.078486
297.274923,32,5.091272
222.503871,24,5.107133
380.95068,41,5.125057
250.591806,27,5.137638
278.5693,30,5.148852
259.408408,28,5.161995
306.562651,33,5.177083
269.014369,29,5.188411
436.580918,47,6.751741
241.245481,26,6.768916
203.704411,22,6.779111
409.226233,44,6.80343
409.611305,44,6.821025
306.344159,33,6.836877
278.647583,30,6.849017
325.371128,35,6.862337
194.626265,21,6.87015
334.319783,36,6.887502
381.624251,41,6.903793
203.98421,22,6.91322
268.927295,29,6.928425
213.15804,23,6.940022
428.424833,46,6.957399
250.359441,27,6.968136
390.557516,42,6.983899
269.486398,29,6.997718
231.603645,25,7.006587
269.38292,29,7.017544
278.407938,30,7.03052
325.100553,35,7.050792
390.563802,42,7.067524
456.585631,49,7.085838
250.527478,27,7.096075
353.298579,38,7.114005
371.393288,40,7.129101
353.400076,38,7.147175
297.206669,32,7.159559
447.303119,48,7.181796
288.294359,31,8.78472
334.679946,36,8.7993
269.593455,29,8.809936
222.643836,24,8.82345
315.849316,34,8.836892
250.645148,27,8.850981
363.025575,39,8.866009
250.254486,27,8.879874
213.242485,23,8.888785
213.229923,23,8.898016
334.555486,36,8.912034
203.788188,22,8.92405
334.167556,36,8.939134
344.006251,37,8.959894
484.451122,52,8.979771
250.248542,27,8.993153
260.0029,28,9.004284
278.364507,30,9.01625
334.641625,36,9.029289
250.603621,27,9.043282
259.589084,28,9.054458
343.915713,37,9.070136
343.958899,37,9.088758
278.73996,30,9.103615
381.057716,41,9.119626
352.403516,38,9.133846
278.837939,30,9.144737
344.229555,37,9.163067
241.524297,26,9.172763
343.874512,37,9.191337
176.078418,19,9.198682
333.977363,36,10.782239
231.840297,25,10.791512
531.034623,57,10.820403
288.013848,31,10.833186
353.192683,38,10.862052
269.116253,29,10.873494
250.61405,27,10.883651
296.980513,32,10.895266
259.90906,28,10.910398
381.697101,41,10.929622
250.600942,27,10.940954
353.522871,38,10.956143
325.45043,35,10.972965
241.142349,26,10.982492
437.059285,47,10.999952
185.328233,20,11.007276
362.203611,39,11.024382
409.239237,44,11.046041
287.653467,31,11.057864
278.620757,30,11.06941
232.09375,25,11.081797
212.899222,23,11.091002
315.835961,34,11.10382
288.329873,31,11.114914
288.127909,31,11.130459
278.493341,30,11.142537
222.408386,24,11.154581
371.326968,40,11.170269
213.14113,23,11.182278
