#{"t_start": 1706100887.03135, "env_id": "LunarLander-v2"}
r,l,t
-615.384367,85,0.239914
-526.15228,74,0.28711
-343.275916,51,0.320873
-420.718899,49,0.351055
-466.89196,55,0.385998
-321.029361,50,0.417218
-960.929018,106,0.48943
-501.173176,55,0.545768
-403.098579,76,0.613365
-719.005609,81,0.704274
-442.413283,55,0.754429
-465.699822,66,0.80422
-709.373083,73,0.864721
-629.131519,71,0.916685
-443.417229,52,0.962205
-507.093013,73,1.01562
-338.881814,64,1.178965
-1508.947752,140,1.323678
-432.778542,79,1.408747
-3175.596125,324,1.746212
-1116.431072,165,1.929475
-510.488643,55,1.982491
-474.376729,58,2.037633
-449.210027,54,2.092033
-413.62165,55,2.145036
-488.672959,73,2.212541
-400.184616,80,2.2655
-523.245745,62,2.30671
-482.41369,61,2.345032
-366.098925,53,2.377655
-597.139843,92,2.43838
-738.9454,72,2.481579
-986.593586,86,2.544627
-638.669883,100,2.608108
-376.238222,55,2.643162
-465.925165,55,2.676399
-488.70917,82,2.728278
-209.544762,55,2.762893
-7768.982302,530,3.08292
-968.345496,125,3.161075
-1095.366194,108,3.255534
-503.52266,70,3.326543
-399.192723,84,3.40345
-513.993203,65,3.468721
-829.046375,77,3.545103
-403.646233,55,3.594749
-390.118697,53,3.637868
-413.213356,51,3.67052
-355.337518,76,3.723009
-477.111472,116,3.795684
-632.777933,95,3.854706
-752.082878,81,3.90469
-458.780085,56,3.941654
-501.36109,74,3.98635
-409.033312,52,4.017659
-731.722338,78,4.066793
-577.741713,124,4.144213
-471.845585,60,4.182728
-753.57959,81,4.231791
-436.335448,57,4.268113
-557.844005,66,4.308998
-516.430436,70,4.353029
-523.928851,62,4.390388
-877.562165,125,4.465895
-453.982674,55,4.504216
-430.439436,57,4.538769
-415.50699,57,4.575013
-230.516403,90,4.629041
-437.604068,58,4.666518
-428.999106,61,4.704394
-373.904218,149,4.794809
-397.245065,56,4.82845
-566.704795,69,4.872668
-481.493513,62,4.910644
-480.329157,55,4.945779
-490.113632,57,4.984463
-466.628162,55,5.018731
-236.547008,113,5.086448
-414.524726,51,5.118151
-816.531333,81,5.166778
-424.667078,56,5.210573
-397.429113,49,5.240875
-1200.985871,206,5.361919
-808.45965,127,5.439753
-498.29038,60,5.475266
-538.283947,68,5.520608
-3895.815831,262,5.677321
-680.444656,84,5.742949
5.482389,88,5.797895
-960.100459,140,5.882278
-186.927538,64,5.924958
-747.02113,74,5.969316
-520.452269,64,6.009792
-508.449684,65,6.050156
-413.235171,55,6.083228
-1774.287725,220,6.219288
-457.3978,59,6.260713
-560.140821,86,6.313798
-445.066881,60,6.350866
-399.951349,57,6.384976
-484.616893,67,6.429538
-312.189091,82,6.479753
-470.969658,63,6.519684
-304.199536,90,6.574385
-1022.838432,145,6.662569
-896.707006,83,6.711893
-1314.693969,209,6.839855
-378.677432,55,6.874348
