#{"t_start": 1706065198.039605, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
250.805777,27,0.603567
297.32105,32,0.621774
296.668498,32,0.638727
241.046332,26,0.648368
259.766371,28,0.663253
222.404899,24,0.672892
231.956927,25,0.682494
344.245948,37,0.699595
213.285609,23,0.711882
315.75159,34,0.72417
334.569522,36,0.737647
371.698181,40,0.75286
334.370938,36,0.769237
278.048349,30,0.780019
343.874429,37,0.793205
231.941787,25,0.802023
334.153648,36,0.821241
362.510805,39,0.835622
297.019984,32,0.847082
241.293062,26,0.856785
306.543124,33,0.872048
231.512087,25,0.880917
222.846132,24,0.889405
419.255537,45,0.904946
372.216736,40,0.924747
240.86161,26,0.936699
222.510284,24,0.945218
278.667048,30,0.95636
222.413016,24,0.968504
315.638501,34,0.981122
352.988768,38,0.995575
306.16365,33,1.007441
287.683196,31,1.094187
213.426618,23,1.105524
372.177061,40,1.12316
250.820452,27,1.133125
278.713085,30,1.146854
250.610839,27,1.156425
241.460477,26,1.165893
203.836404,22,1.173686
362.556606,39,1.190917
409.194197,44,1.209513
259.765373,28,1.219611
288.150095,31,1.230862
185.488304,20,1.241359
306.782876,33,1.253261
399.885625,43,1.268434
250.491203,27,1.278112
344.063543,37,1.294433
362.762495,39,1.313318
240.843556,26,1.322741
222.537478,24,1.331528
194.440199,21,1.342038
287.862739,31,1.353244
212.778131,23,1.361838
325.171644,35,1.374122
269.039689,29,1.387001
240.864378,26,1.396356
269.12629,29,1.40682
324.87185,35,1.422446
371.723012,40,1.440263
334.330317,36,1.453203
240.796348,26,1.462823
503.032256,54,1.48176
343.99501,37,1.498075
213.266979,23,1.506307
297.312927,32,1.520839
325.427115,35,1.533584
269.183299,29,1.547575
259.861969,28,1.557531
269.397203,29,1.568152
222.430052,24,1.576771
306.856472,33,1.591761
278.860911,30,1.602462
278.485157,30,1.613374
306.872103,33,1.628566
213.036391,23,1.639779
316.140724,34,1.652057
362.422391,39,1.665991
446.982556,48,1.683244
325.331423,35,1.69921
213.577249,23,1.70763
222.385121,24,1.71641
418.786285,45,1.733493
362.840241,39,1.753723
250.638824,27,1.763409
203.782445,22,1.771908
454.778968,49,1.789823
185.042465,20,1.800469
287.654998,31,1.81261
502.796954,54,1.83153
259.624175,28,1.842161
250.493306,27,1.857464
260.004171,28,1.867825
203.954659,22,1.876113
259.983499,28,1.885981
213.062409,23,1.898241
352.804875,38,1.912083
194.395059,21,1.919416
240.99073,26,1.929218
306.283718,33,1.945509
203.966173,22,1.956202
241.302202,26,1.968029
306.48693,33,1.980638
288.020588,31,1.996223
241.0264,26,2.005377
325.208807,35,2.019005
231.805135,25,2.028594
269.224509,29,2.043663
316.203428,34,2.058966
241.053047,26,2.06879
268.645607,29,2.079546
269.0871,29,2.095339
399.887645,43,2.11171
222.71071,24,2.119982
250.644058,27,2.130037
268.882423,29,2.143525
306.358577,33,2.154846
259.709766,28,2.170704
306.635577,33,2.183402
296.961913,32,2.198551
222.576497,24,2.207514
269.236923,29,2.218341
269.132093,29,2.228868
437.858727,47,2.249219
241.524694,26,2.258976
418.723767,45,2.275807
325.433819,35,2.293403
222.453865,24,2.304653
203.902532,22,2.312708
297.089299,32,2.324657
324.911477,35,2.336888
213.186369,23,2.348998
232.060286,25,2.358906
213.209921,23,2.36729
269.33745,29,2.378108
344.204171,37,2.39873
203.578224,22,2.406498
259.639286,28,2.417656
343.837189,37,2.431098
325.045768,35,2.466813
334.78718,36,2.495948
287.727012,31,2.510298
315.531581,34,2.522269
372.07656,40,2.539801
231.579213,25,2.54946
287.197375,31,2.561038
419.064862,45,2.576754
362.313522,39,2.595124
297.042047,32,2.606186
353.079527,38,2.619547
306.66047,33,2.636173
344.149974,37,2.65253
241.052329,26,2.662035
213.256228,23,2.670228
231.769298,25,2.67955
241.088334,26,2.691891
250.477833,27,2.701492
222.615164,24,2.710237
268.998593,29,2.72032
446.657173,48,2.740396
409.89101,44,2.760272
269.816898,29,2.770585
390.95081,42,2.785777
241.020113,26,2.798659
213.406013,23,2.806552
343.744497,37,2.820165
222.4513,24,2.828778
399.990849,43,2.847713
455.671105,49,2.870158
343.824638,37,2.884046
278.755944,30,2.894926
316.206624,34,2.910388
241.002616,26,2.919281
296.976955,32,2.930726
278.386612,30,2.94097
203.651435,22,2.952653
400.197208,43,2.968529
389.881135,42,2.989818
259.762174,28,3.000387
259.794388,28,3.014674
343.755951,37,3.028031
315.948614,34,3.03978
306.610498,33,3.051429
185.352184,20,3.062101
278.391084,30,3.072605
222.775828,24,3.081423
297.226098,32,3.092665
278.59233,30,3.110081
343.982603,37,3.12298
259.769889,28,3.133133
343.916781,37,3.145815
343.339027,37,3.163089
315.007627,34,3.174609
194.604659,21,3.183268
297.04048,32,3.195383
203.689401,22,3.20875
278.727051,30,3.219764
250.997526,27,3.230517
306.589896,33,3.241909
362.33884,39,3.26003
315.598199,34,3.272003
269.070481,29,3.282035
231.831254,25,3.29052
400.12501,43,3.31307
250.065005,27,3.329035
446.842486,48,3.348036
343.244668,37,3.361109
297.178923,32,3.377416
427.811357,46,3.393516
269.563569,29,3.403486
241.15722,26,3.412281
231.933473,25,3.424104
278.37948,30,3.438806
372.237179,40,3.453616
316.003544,34,3.466379
334.393667,36,3.482925
297.282016,32,3.494005
324.877236,35,3.50825
222.756186,24,3.516951
334.129244,36,3.533211
