#{"t_start": 1706066060.832781, "env_id": "InvertedDoublePendulumBulletEnv-v0"}
r,l,t
352.554395,38,0.613679
352.989137,38,0.637014
334.258763,36,0.652999
269.00305,29,0.667483
334.491159,36,0.686913
390.505533,42,0.707148
306.63705,33,0.719306
447.010278,48,0.738119
260.075872,28,0.75164
194.435622,21,0.759848
231.519431,25,0.768796
297.165202,32,0.781063
362.848734,39,0.802006
325.079484,35,0.815571
427.480373,46,0.832791
213.221512,23,0.841598
231.675508,25,0.853778
222.604505,24,0.863105
353.092948,38,0.877597
278.612393,30,0.888647
409.148052,44,0.912858
278.351021,30,0.925968
306.825723,33,0.938348
502.338648,54,0.959185
259.484729,28,0.973151
296.65118,32,0.984728
297.019774,32,0.996382
241.077209,26,1.006162
325.384101,35,1.025601
231.963144,25,1.034717
269.29457,29,1.046116
428.080371,46,1.063024
269.349625,29,1.076895
203.642221,22,1.084795
297.237481,32,1.09759
288.132132,31,1.115009
213.242224,23,1.152589
213.049297,23,1.164737
297.716348,32,1.177297
231.872725,25,1.186355
222.519034,24,1.198769
231.613337,25,1.209231
437.154621,47,1.226717
372.001043,40,1.241537
296.951319,32,1.25981
353.237968,38,1.274731
306.206336,33,1.286608
250.613041,27,1.296992
699.460774,75,1.327856
231.758488,25,1.336794
287.889369,31,1.348662
493.443885,53,1.370507
344.19104,37,1.389561
231.737471,25,1.398727
287.630477,31,1.410192
381.748907,41,1.42546
334.888239,36,1.441654
222.676149,24,1.450291
390.008413,42,1.466363
231.908405,25,1.479109
241.203965,26,1.493834
204.038988,22,1.501856
222.884105,24,1.513373
418.890345,45,1.531265
372.279133,40,1.549789
259.873606,28,1.561635
250.840052,27,1.571358
390.751076,42,1.593083
297.210739,32,1.608766
259.509353,28,1.618881
427.302123,46,1.636324
325.399905,35,1.649797
306.467197,33,1.665919
259.432904,28,1.679782
381.15181,41,1.700819
250.481958,27,1.712282
241.176416,26,1.727663
372.218532,40,1.743713
344.001737,37,1.758133
241.285922,26,1.767538
389.346901,42,1.786332
325.165021,35,1.800416
259.777381,28,1.815055
204.123992,22,1.82447
297.22294,32,1.842495
185.223335,20,1.850243
437.777284,47,1.868402
194.823922,21,1.877027
250.529594,27,1.89054
539.926263,58,1.913557
260.020559,28,1.927861
353.502255,38,1.943149
231.890745,25,1.956817
278.425064,30,1.969471
250.390519,27,1.980426
241.313726,26,1.991246
390.526453,42,2.012437
213.100254,23,2.022342
390.388672,42,2.044079
250.649398,27,2.053672
381.37425,41,2.074648
344.205739,37,2.088067
241.25375,26,2.098894
325.001469,35,2.112478
306.724534,33,2.128328
250.566093,27,2.138015
269.371107,29,2.154751
231.386474,25,2.165197
241.441388,26,2.178984
240.97379,26,2.188378
278.43017,30,2.200452
315.762976,34,2.214353
324.533108,35,2.231312
222.388247,24,2.241356
232.015005,25,2.250394
269.379555,29,2.262841
269.355999,29,2.280178
333.949383,36,2.294034
288.244266,31,2.305233
296.986418,32,2.317427
250.615938,27,2.330415
324.82283,35,2.344076
232.014177,25,2.352992
287.682364,31,2.365496
241.274629,26,2.383191
259.471915,28,2.394592
222.703531,24,2.403283
231.95657,25,2.413181
408.947099,44,2.433939
278.649954,30,2.445336
343.472764,37,2.458676
353.116278,38,2.471952
344.116234,37,2.489903
306.627512,33,2.508035
231.886932,25,2.51694
203.812407,22,2.525674
324.740333,35,2.544392
306.630867,33,2.556804
231.621135,25,2.56619
400.391915,43,2.581571
213.420354,23,2.593389
306.801656,33,2.606374
278.653075,30,2.620715
297.366065,32,2.633263
278.249915,30,2.647618
222.093831,24,2.656131
315.829274,34,2.669756
418.320428,45,2.687057
297.391733,32,2.703349
203.90509,22,2.711842
250.599359,27,2.726215
269.117279,29,2.736595
194.591118,21,2.747774
297.379604,32,2.760588
334.711232,36,2.77376
315.768176,34,2.786271
203.617704,22,2.797146
297.189444,32,2.810134
203.844467,22,2.818214
259.822013,28,2.828466
222.464181,24,2.845191
250.908728,27,2.854773
278.523866,30,2.866768
231.976085,25,2.876576
287.75906,31,2.890971
241.060828,26,2.901057
316.044713,34,2.914115
269.471851,29,2.92457
306.52747,33,2.940515
232.238816,25,2.950627
521.515128,56,2.976316
315.912939,34,2.988901
287.678321,31,3.004723
278.515972,30,3.016704
297.469875,32,3.028685
268.639931,29,3.039391
306.034273,33,3.056103
502.261481,54,3.080473
222.698918,24,3.089048
269.183131,29,3.100739
278.223319,30,3.115257
240.849603,26,3.124837
259.873,28,3.135129
194.592911,21,3.142665
325.15792,35,3.158975
418.595047,45,3.176979
259.944407,28,3.193709
222.402022,24,3.202544
306.53636,33,3.219298
306.440478,33,3.23234
296.88736,32,3.243861
278.586392,30,3.255154
418.538623,45,3.27525
241.351926,26,3.284923
372.148131,40,3.302637
315.550338,34,3.316659
343.44625,37,3.345919
259.869265,28,3.356429
427.994612,46,3.376258
343.855891,37,3.399416
288.222756,31,3.431543
250.477884,27,3.445875
511.906384,55,3.468603
222.431835,24,3.477907
325.437178,35,3.496019
408.971874,44,3.530445
222.521323,24,3.542087
306.646497,33,3.554396
306.755847,33,3.57006
222.577746,24,3.579277
269.299379,29,3.592323
241.164156,26,3.604398
306.314945,33,3.620977
287.743951,31,3.632201
361.590664,39,3.652263
362.580787,39,3.666432
250.570926,27,3.680603
268.991909,29,3.691714
437.364914,47,3.708737
381.636804,41,3.723459
399.35033,43,3.742464
