#{"t_start": 1706115798.3108711, "env_id": "LunarLander-v2"}
r,l,t
-2629.06883,318,0.495089
-1509.555099,201,0.684839
-351.220348,51,0.731321
-514.891763,64,0.78991
-770.71962,107,0.878396
-629.757754,98,0.955535
-293.939996,71,1.014394
-502.063708,64,1.077406
-402.181371,58,1.132485
-319.307629,50,1.187027
-501.560037,59,1.243243
-364.882749,211,1.433298
-489.795328,59,1.489741
-572.21198,106,1.593134
-599.214657,76,1.663305
-127.844128,69,1.728343
-694.408805,86,1.918929
-374.326433,81,1.994895
-729.702777,104,2.086864
-136.275503,66,2.142682
-105.677163,62,2.191558
-698.484397,128,2.291711
-803.280206,120,2.387355
-464.098201,87,2.46065
-160.847212,69,2.517897
-544.149565,54,2.578583
-662.506881,76,2.64914
-468.656931,58,2.700236
-748.594327,94,2.782986
