#{"t_start": 1706223662.7276213, "env_id": "LunarLander-v2"}
r,l,t
-694.766103,109,0.484353
-790.267769,84,0.577973
-453.390518,56,0.633304
-992.627063,128,0.752154
-485.703543,72,0.798528
-576.964726,60,0.833899
-529.594775,63,0.873673
-655.268672,88,0.927176
-601.243254,72,0.971581
-775.116468,78,1.019676
-898.437523,84,1.080895
-795.853988,81,1.154374
-736.658235,81,1.22857
-535.012084,104,1.320224
-576.406782,67,1.381535
-484.844957,58,1.43226
-585.460643,95,1.660705
-879.314748,82,1.735345
-540.09208,62,1.79392
-590.833194,63,1.84879
-373.155549,49,1.89204
-477.414414,65,1.934048
-1099.418892,104,1.997887
-437.562991,51,2.029728
-508.689119,58,2.064546
-508.836207,64,2.104524
-343.49711,124,2.178463
-858.915222,88,2.236166
-579.840531,71,2.277837
-223.706946,86,2.332749
-389.188245,52,2.36384
-448.164733,50,2.396271
-395.096383,66,2.444138
-150.626459,57,2.477541
-638.698493,69,2.519933
-630.314765,134,2.602999
-927.843803,164,2.697206
-421.479402,50,2.731315
-406.643961,58,2.765636
-335.506488,63,2.805464
-613.953381,64,2.843801
-742.062581,77,2.887638
-532.902059,59,2.925328
-639.946036,68,2.966473
-828.20808,82,3.017475
-493.238884,66,3.056237
-820.688974,85,3.10587
-448.815375,55,3.141469
-435.76931,57,3.183029
-293.557355,89,3.237553
-604.120682,64,3.27696
-530.997406,62,3.313806
-905.886057,83,3.365721
-698.431854,95,3.42339
-1084.288583,90,3.487139
-691.799853,83,3.542816
-268.189749,64,3.586221
-531.163992,59,3.638601
-446.07903,58,3.6986
-613.156902,118,3.814336
-757.230496,76,3.902315
-445.031427,53,3.959784
-695.357146,68,4.013814
-396.959335,56,4.052684
-592.573182,62,4.097991
-377.869349,53,4.150679
-564.059859,77,4.234456
-903.130688,86,4.333542
-640.926602,78,4.419088
-461.673375,60,4.497424
-484.30578,70,4.58095
-450.879293,56,4.644099
-476.541773,49,4.703033
-549.554883,56,4.754936
-782.875439,88,4.836058
-795.603587,79,4.901596
-3442.725819,345,5.210538
-584.083337,69,5.25357
-601.482599,82,5.317342
-663.267471,64,5.377199
-773.552755,74,5.445762
-708.765941,119,5.536409
-535.412581,61,5.607725
-419.697018,56,5.674696
-775.144043,77,5.763523
-390.745217,55,5.825945
-148.690345,68,5.886014
-275.757483,90,5.969017
-3330.360836,338,6.18577
-484.109026,78,6.237581
-397.483466,65,6.299541
-646.037117,73,6.384146
-532.615699,68,6.470278
-480.769909,61,6.551766
-407.264074,52,6.607262
-341.806282,279,6.833207
-455.532355,61,6.883755
-656.679828,118,7.001931
-722.539682,72,7.084382
-578.948919,85,7.166386
-618.719609,71,7.230307
-544.878065,65,7.292059
-300.167195,50,7.344071
-410.592728,57,7.39181
-175.648585,68,7.456374
-746.12571,81,7.529736
-744.679425,81,7.603206
-512.328616,62,7.660261
-461.313195,53,7.717494
-528.929944,64,7.778492
-483.234864,64,7.844681
-746.815391,149,7.954532
-755.623379,77,8.039595
-555.597965,62,8.110684
-805.730955,83,8.187887
-693.678586,75,8.242512
-814.570922,80,8.302638
-418.710025,59,8.351025
-816.449969,78,8.417686
-447.438916,79,8.501034
-779.916328,85,8.596819
-635.12627,65,8.673523
-618.270472,64,8.75118
-392.017939,52,8.813236
-593.965721,71,8.87483
-579.072118,63,8.934912
42.962435,117,9.069788
-564.105766,68,9.158548
-537.572205,68,9.239273
-555.006506,65,9.300649
-484.853163,82,9.383995
-517.406998,75,9.444947
-1059.467063,88,9.506575
-445.771111,52,9.548997
-850.648177,80,9.608008
-502.246387,71,9.656856
-105.397426,57,9.69313
-618.703245,66,9.732803
-748.01432,74,9.780531
-710.965719,73,9.826092
-804.744603,82,9.876974
-557.175264,60,9.922226
-52.070267,89,10.00652
-397.053314,119,10.113113
-789.30801,85,10.186687
-270.484379,54,10.224156
-546.951538,74,10.271639
-482.078662,63,10.31042
-472.345724,64,10.348269
-591.861072,57,10.384871
-342.330997,51,10.416172
-687.409701,78,10.461641
-462.875493,56,10.498858
-506.120486,58,10.5342
-540.29598,65,10.57214
-672.160784,86,10.62528
-1005.572341,87,10.680149
-530.671738,61,10.71991
-516.318068,55,10.754167
-745.694032,74,10.801514
-471.466588,63,10.844612
-682.119573,90,10.899569
-519.991584,73,10.943957
-596.108672,66,10.984064
-456.883688,83,11.036626
-529.49092,67,11.075658
-186.790305,74,11.123617
-777.318666,82,11.194136
-616.522212,65,11.256894
-364.283314,49,11.309832
-820.672627,82,11.389362
-569.533914,77,11.456416
-374.902306,55,11.490386
-711.297972,82,11.555768
-486.287612,64,11.59397
-435.77569,52,11.62889
-147.442792,73,11.686496
-471.085919,57,11.737329
-712.909246,70,11.812081
-689.102445,75,11.890946
-564.114084,62,11.956008
-477.473064,53,12.010396
-518.687494,66,12.085719
-640.835733,68,12.16627
-491.845898,55,12.220963
-598.962284,70,12.277204
-484.284949,73,12.320887
-153.899972,56,12.355686
-651.269935,80,12.404714
-591.240623,60,12.442272
-349.490761,67,12.482256
-373.699488,53,12.513242
-568.737239,68,12.564737
-507.429297,57,12.598413
-118.313483,54,12.629898
-554.991999,67,12.672868
-438.688856,50,12.702389
-477.992357,54,12.735552
-522.254117,70,16.119257
-804.414823,76,16.169483
-501.259487,101,16.229643
-654.161994,64,16.270091
-471.518412,62,16.307538
-471.228222,62,16.349699
-442.74872,52,16.386764
-481.627795,66,16.442186
-647.389409,85,16.549117
-841.01058,86,16.693945
