#{"t_start": 1706055883.9477212, "env_id": "LunarLander-v2"}
r,l,t
-502.20503,78,0.26483
-296.656126,58,0.301433
-954.81873,86,0.355085
-191.519022,67,0.396417
-364.13429,83,0.446249
-460.277811,68,0.499305
-389.45956,60,0.543309
-498.901469,66,0.590139
-777.070272,80,0.71758
-62.779614,58,0.753139
-744.280323,74,0.802094
-368.395995,52,0.833961
-176.013313,70,0.877573
-772.927234,82,0.927214
-417.646394,71,0.971749
-475.683712,105,1.033512
-541.928488,61,1.080075
-633.386019,74,1.125923
-201.115733,78,1.174401
-391.043659,71,1.217281
-428.575299,54,1.24925
-389.593419,55,1.284248
-399.646968,57,1.318855
-365.129504,69,1.359232
-249.299803,77,1.41388
-220.347518,114,1.482687
-274.383204,67,1.524675
-392.167766,61,1.561787
-421.16555,71,1.606888
-144.747378,79,1.653559
-733.760789,72,1.698752
-480.83123,57,1.733761
-129.380191,60,1.775619
-179.696496,76,1.823069
-139.853576,80,1.869685
-678.729007,77,1.917673
-570.192021,65,1.956657
-361.04687,52,1.987206
-501.824892,70,2.032143
-521.613928,66,2.072144
-767.227001,75,2.126717
-125.287043,58,2.160902
-548.899972,67,2.203984
-332.497121,93,2.258765
-176.09827,64,2.296137
-506.784344,62,2.337419
-111.781886,91,2.389952
-503.097511,55,2.425048
-126.623765,54,2.464412
-445.650195,58,2.49892
-352.031563,49,2.531173
-593.93699,68,2.573146
-375.459069,50,2.602685
-160.323709,59,2.640038
-891.189432,81,2.688444
-532.377245,64,2.729483
-574.630445,70,2.777674
-174.968615,56,2.810002
-377.977805,85,2.864342
-132.948536,57,2.897332
-132.661143,61,2.934755
-844.304132,99,2.994263
-99.661801,85,3.045295
-286.167523,65,3.085784
-193.336923,76,3.139993
-375.025452,51,3.171972
-114.446337,55,3.203399
-268.272708,60,3.244069
-746.427937,72,3.286712
-119.629251,55,3.31829
-180.861255,60,3.358433
-150.010753,54,3.390595
-116.238453,64,3.433477
-167.667333,64,3.476152
-147.219255,86,3.525314
-531.835623,57,3.56284
-422.724845,50,3.593215
-180.722384,78,3.637663
-177.891065,63,3.678959
-231.914726,114,3.74522
-41.629632,55,3.786575
-145.909781,59,3.821288
-101.558942,51,3.853966
-559.242842,62,3.891808
-422.622257,77,3.936163
-488.615637,97,3.994717
-84.196632,61,4.030287
-127.827367,53,4.064739
-551.003091,73,4.112526
-152.630842,63,4.148618
-142.837214,66,4.190131
-172.102454,88,4.241124
-439.127197,57,4.277472
-190.765864,77,4.3232
-465.956381,56,4.356003
-553.894477,74,4.401938
-636.314093,76,4.452029
-140.364415,75,4.498593
-566.292131,60,4.53578
-106.397381,59,4.573496
-2503.443272,244,4.718129
-336.923744,53,4.749622
-107.43732,82,4.79956
-593.390801,65,4.838831
-186.683595,86,4.897495
-150.152076,86,4.947855
-124.577442,58,4.985084
-45.032255,94,5.039416
