#{"t_start": 1706115815.9996324, "env_id": "LunarLander-v2"}
r,l,t
52.222154,80,0.290334
-227.578913,67,0.347142
-303.829135,80,0.409392
-704.085423,119,0.537348
-134.874101,61,0.600953
-473.768576,60,0.663062
-465.998358,57,0.710872
-150.038773,58,0.758613
-835.648222,81,0.821788
-137.912804,66,0.875417
-120.984171,56,0.91941
-551.98083,80,0.984699
-135.85921,83,1.05059
-127.453998,56,1.105031
-199.616482,137,1.226904
-362.168336,59,1.28187
-310.268107,98,1.4699
-329.833037,53,1.523923
-130.409559,66,1.584795
-124.680731,54,1.633135
-247.728888,79,1.708387
-156.679732,67,1.765851
-183.419876,95,1.853475
-35.123874,112,1.944045
-842.315479,77,2.007413
-152.376718,52,2.048401
-1316.17591,160,2.174419
-417.140781,86,2.244986
-541.078297,83,2.311681
-591.337442,84,2.376358
-100.247698,70,2.433923
-313.794351,80,2.496647
-376.699195,95,2.580055
-403.129958,58,2.628317
-134.406281,58,2.673074
-813.586764,122,2.769884
-476.971732,62,2.821272
-434.174909,82,2.884843
-105.748356,67,2.939638
-297.25183,111,3.027921
-332.796134,52,3.069119
-96.09101,91,3.140503
-380.030825,166,3.269451
-100.740096,58,3.313873
-144.716236,55,3.359124
-271.533741,48,3.397334
-143.88088,145,3.510672
-293.193628,82,3.57704
-366.153297,110,3.671065
-587.250697,85,3.735899
-309.024272,75,3.796773
-349.718925,98,3.874575
-567.032307,68,3.928273
-768.415219,100,4.007713
-103.725061,84,4.073994
-168.523221,72,4.129183
-112.504015,81,4.194492
-352.579673,59,4.240088
-796.420925,164,4.370656
-112.51018,61,4.418681
-1576.013161,237,4.608874
-317.117332,64,4.658559
-331.506657,57,4.706412
-92.302923,54,4.747683
-140.550872,73,4.81357
-554.32679,85,4.881286
-1486.330225,165,5.012146
-722.778528,93,5.086396
-127.714723,58,5.131051
-530.693041,121,5.226393
-130.335241,90,5.299346
-140.695829,72,5.35514
-607.394432,229,5.536913
-96.252791,69,5.590334
-131.871273,73,5.64924
-520.816478,60,5.696466
-106.816464,79,5.759501
-153.752747,58,5.804527
-1023.378391,209,5.969658
-153.170543,73,6.028713
-463.263469,86,6.101328
-397.153419,49,6.142501
-354.939006,69,6.196413
-692.904352,111,6.284589
-623.224051,84,6.351649
-214.95998,83,6.415919
-362.378701,89,6.488564
-537.325776,63,6.540489
-440.592219,65,6.593227
23.732944,88,6.663145
-127.60772,89,6.731183
-167.745983,50,6.773143
-184.808474,74,6.829328
-416.654321,105,6.912852
-113.527109,76,6.973454
-142.350207,72,7.027997
-58.148585,66,7.088886
-75.51601,92,7.160941
-1021.269602,150,7.276907
-354.611628,89,7.345644
-620.45131,94,7.419968
-738.290275,71,7.477833
-179.428043,88,7.544734
-323.390322,101,7.624231
-110.926249,54,7.66858
-110.067973,81,7.730251
-187.323531,72,7.787355
-201.265998,74,7.844097
-360.410755,54,7.889011
-131.801342,59,7.935116
-231.380707,64,7.986526
-121.270804,74,8.045401
-121.056452,72,8.110634
-174.481507,93,8.183954
-119.571192,55,8.226356
-172.566086,85,8.292864
-461.180351,111,8.376981
-127.402628,61,8.427077
-315.98896,91,8.498491
-145.616847,68,8.551766
-117.498248,97,8.631063
-506.450218,94,8.70472
-1645.970643,152,8.824245
-120.099161,55,8.866981
-219.811752,56,8.913194
-629.853193,84,8.978296
-85.454491,54,9.02264
-165.921795,74,9.079509
-115.165186,52,9.129275
-467.863512,54,9.17135
-33.179245,58,9.217319
-437.799407,82,9.266696
-428.391125,50,9.296381
-440.081377,83,9.348189
-129.264777,60,9.383603
-526.818778,79,9.433737
-345.413651,61,9.471415
-147.182655,58,9.505416
-155.340129,71,9.568476
-367.754355,61,9.605724
-94.333769,54,9.640154
-216.438313,58,9.676111
-715.442182,78,9.721882
-159.879748,68,9.765097
-151.697789,61,9.807832
-138.614531,60,9.845778
-105.566464,54,9.878361
-105.249717,83,9.927215
-109.590275,81,9.978286
-46.627983,64,10.01603
-153.026813,80,10.072085
-729.859835,132,10.152451
-136.539772,54,10.185943
-140.440372,87,10.235311
-141.743249,65,10.276303
-249.418685,74,10.32006
-252.207146,78,10.3694
-157.988718,66,10.409004
-209.11097,88,10.462578
-139.175738,66,10.502139
-131.364486,88,10.566513
-110.698147,53,10.599422
-137.768513,74,10.642083
-240.862458,82,10.6924
-208.755324,65,10.730663
-574.066243,85,10.783782
-442.451131,79,10.830394
-104.922672,83,10.88228
-1381.49264,192,10.997941
-127.378201,70,11.041649
-157.869547,68,11.083488
-112.074773,79,11.129957
-121.288426,55,11.161621
-125.84224,70,11.205109
-96.944035,90,11.25685
-548.221619,66,11.298426
-134.860758,91,11.358702
-280.884207,90,11.416049
-479.244564,64,11.45503
-167.400924,56,11.490737
-151.607594,83,11.540811
-955.831518,140,11.626213
-369.581157,54,11.657541
-177.985701,74,11.702992
-127.942896,51,14.863182
-112.110013,54,14.90243
-116.161408,80,14.950538
-145.378724,69,14.992785
-341.416327,55,15.026945
-197.343477,78,15.071446
-253.647123,88,15.126441
-729.779922,109,15.192144
-133.568306,72,15.240597
-101.48183,50,15.270024
-276.068342,64,15.310267
-149.332509,75,15.354447
-400.035828,127,15.445766
-135.579298,63,15.499324
-119.978625,66,15.540679
-105.520705,56,15.574445
-129.12172,53,15.608581
-727.900421,360,15.819666
-125.816958,83,15.868721
-206.533499,79,15.917102
-120.060501,60,15.953644
-129.033742,80,16.00272
-742.791405,256,16.157227
-600.946927,111,16.22561
-115.482569,51,16.261613
-79.923012,53,16.293216
-180.25659,77,16.340818
-80.953511,82,16.388793
-290.96997,51,16.422349
-521.381632,66,16.462933
-492.515206,93,16.521234
-418.111727,98,16.579611
-165.303091,51,16.610523
-123.498526,88,16.664866
-113.626338,66,16.703146
-136.248376,60,16.741222
-130.57927,77,16.787141
-114.145575,87,16.839138
-114.983689,56,16.873794
-136.073907,70,16.91573
-107.644988,87,16.977372
-23.675327,75,17.021298
-161.073185,75,17.069426
74.801086,74,17.113187
-142.793065,78,17.160326
-670.709692,68,17.202076
-134.541673,62,17.240253
-213.939624,84,17.289306
-2858.765522,279,17.456406
-199.99497,63,17.495902
-122.276863,90,17.55193
-575.800091,71,17.594958
-1.593565,84,17.647332
-141.428804,66,17.686714
-152.348399,86,17.736943
-122.303714,80,17.786731
-153.323354,69,17.834431
-739.587239,90,17.891424
-118.495587,67,17.931566
-143.664817,91,17.988018
-166.139771,88,18.039413
-728.308486,162,18.136545
-118.399119,63,18.176858
-22.561322,81,18.226218
-804.267188,91,18.281627
-442.620077,51,18.313818
-125.211281,51,18.343549
-464.576303,74,18.391088
-100.142093,68,18.433255
-95.326484,82,18.483003
-150.115792,63,18.521668
-123.093397,68,18.560695
-146.851154,83,18.620285
-117.471892,56,18.652629
-115.435389,71,18.698558
-464.253011,121,18.774574
-185.700476,77,18.823115
-172.936741,90,18.875686
-130.584923,60,18.914558
-117.231031,55,18.950841
-669.429934,78,18.999107
-253.476962,62,19.038052
-132.619606,49,19.06729
-135.651772,84,19.119065
-367.560427,76,19.164035
-2112.131606,295,19.340838
14.662219,92,19.393863
-164.164844,78,19.444193
-101.53269,89,19.506674
-135.596695,78,19.554513
-281.5796,86,19.609338
-108.545728,59,19.644367
-124.909095,57,19.677814
-123.137586,74,19.723919
-203.481676,91,19.77744
-147.780061,57,19.813217
-106.953724,59,19.849343
-120.767278,55,19.883519
-672.934421,81,19.935478
-136.606604,61,19.972727
-138.571876,57,20.005818
-249.328292,82,20.057934
-395.573942,69,20.098284
-281.528679,75,20.145892
-251.713448,106,20.215497
-103.145456,57,20.252426
-101.708847,58,20.288141
-143.562956,65,20.32818
-136.814635,55,20.361323
-554.870362,80,20.407859
-272.842769,64,20.450207
-145.233916,71,20.49275
-172.127503,75,20.539937
-108.24035,79,20.587013
-158.68989,81,20.637084
-153.818541,80,20.684572
-312.126344,52,20.716353
-124.375365,84,20.76951
-151.367648,82,20.816584
-460.09915,88,20.873875
-134.293487,57,20.914428
-121.890076,70,20.95868
-122.712095,51,20.989727
-159.789859,85,21.040305
-482.32522,90,21.098957
-328.887353,94,21.156902
-18.95652,90,21.20989
-297.885332,73,21.255885
-109.411509,59,21.290952
27.985318,101,21.349632
-201.679036,203,21.472935
-102.725955,83,21.523727
-159.449535,57,21.556746
-111.203796,78,21.607228
-378.105228,67,21.64647
-217.68047,89,21.702074
-124.004451,55,21.741306
-138.597051,53,21.776875
-136.517629,61,21.813869
-152.741904,74,21.856526
-102.249942,56,21.891359
-159.925612,63,21.931897
-95.126429,51,21.961587
-136.321367,59,21.998717
-354.401804,123,22.069199
-123.157118,55,22.103979
-529.944759,84,22.153663
-124.325987,53,22.186465
-181.321676,57,22.220612
-153.7053,57,22.253434
-486.285904,64,22.29394
-155.488959,63,22.331218
-123.198007,65,22.374464
-359.404223,50,22.407555
-166.820818,78,22.454569
-186.38533,85,22.506038
-750.476166,77,22.554581
-100.568395,57,22.591224
-207.082125,83,22.639998
-149.136716,59,22.674135
-579.899778,64,22.714539
-121.070204,86,22.764541
-137.507602,81,22.814486
-205.49059,138,22.898712
-80.650557,52,22.930682
37.743211,72,22.974567
-578.912799,70,23.017672
-159.212111,69,23.059033
-151.033755,70,23.11005
-133.746637,75,23.154832
-135.763377,75,23.198341
-161.921261,71,23.242926
-150.825036,77,23.286842
-144.002635,67,23.327763
-152.578668,80,23.374562
-105.579128,54,23.40603
-135.138146,67,23.450941
-150.683858,68,23.490275
-124.185281,60,23.528303
-753.8062,73,23.572379
-153.367152,74,23.617649
-108.070113,75,23.662181
-107.56553,75,23.706241
-147.715222,86,23.759311
-9.705225,65,23.803912
-109.173064,60,23.842367
-129.12198,68,23.882926
-142.502768,67,23.922189
-99.502513,84,23.976411
-128.690758,72,24.019233
-118.135922,65,24.061583
-116.313004,76,24.106991
-138.573763,63,27.140515
-118.302065,76,27.185082
-154.847528,90,27.239369
-290.88012,56,27.27367
