#{"t_start": 1706058397.4722092, "env_id": "LunarLander-v2"}
r,l,t
-369.09952,89,0.234807
-522.669189,90,0.289505
-112.167395,151,0.383214
-694.381077,186,0.502458
-1050.2177,186,0.625627
-414.371602,135,0.706098
-819.663492,118,0.780795
-489.013382,119,0.854826
-611.068494,140,0.938811
-101.330589,78,0.985069
-373.378831,90,1.118451
11.822923,89,1.173579
-291.035051,126,1.250104
-127.525402,62,1.287142
-904.850914,149,1.375625
-366.413683,102,1.43497
-383.453684,108,1.502585
-321.623149,99,1.562893
-982.027273,140,1.645415
-291.616608,144,1.731905
-52.035826,64,1.779678
-397.637654,89,1.832026
-465.257203,121,1.906891
-192.801853,95,1.964183
-320.130967,318,2.147465
-202.468202,76,2.194212
-160.261085,67,2.232937
-210.574609,77,2.279407
-1647.762321,198,2.396646
-108.520166,94,2.452097
-296.333526,148,2.548058
-141.010223,90,2.602536
-324.223471,91,2.65645
-540.815684,86,2.728325
-456.994396,144,2.815385
-138.567389,67,2.856245
-322.318077,107,2.920202
-166.770203,67,2.961596
-118.304092,65,3.000127
-192.499507,81,3.050115
-146.54373,57,3.089686
-358.996724,107,3.156927
-357.220658,95,3.215017
-137.256751,79,3.265187
-161.592603,88,3.318277
-149.800012,118,3.387486
-320.899335,87,3.439807
-119.654381,80,3.487882
-130.240878,84,3.539033
-370.186337,99,3.597151
-320.652918,129,3.683328
-106.946011,87,3.736732
-117.4279,84,3.785466
-144.716131,59,3.820469
-108.860349,54,3.855843
-96.093726,85,3.905791
-167.476474,76,3.952477
-123.307743,86,4.003285
-520.309653,136,4.086492
-109.522821,61,4.12186
-113.221949,75,4.176614
-114.696966,64,4.213627
-146.058722,64,4.253278
-131.489116,61,4.289631
-385.091591,77,4.334181
-397.687122,117,4.406446
-81.266674,79,4.454174
-231.225049,188,4.565648
-60.430803,81,4.614134
-271.535219,100,4.675503
-189.125016,84,4.730736
-288.821458,295,4.908968
-136.222891,56,4.941354
-295.507056,102,5.004403
-128.47573,70,5.044506
-153.873025,68,5.086621
-134.004441,67,5.126293
-151.28703,65,5.163349
2.703068,85,5.216367
-132.612186,52,5.246736
-143.664672,54,5.287645
-122.473369,58,5.324258
-100.764823,53,5.355563
-19.297543,71,5.40047
-131.755485,80,5.448907
-116.242326,78,5.495867
-131.352499,72,5.539299
-74.894879,52,5.571734
-171.778039,57,5.608575
-188.056251,84,5.657081
-102.786461,76,5.711091
-350.837229,113,5.775141
-614.475762,100,5.839009
-529.840585,72,5.881799
-144.87528,65,5.923227
-125.556339,53,5.954658
-444.27428,148,6.043433
-183.675817,78,6.088635
-18.212895,97,6.14863
-344.786615,105,6.211295
-219.77696,71,6.259588
-180.636159,90,6.314084
-368.151572,90,6.367185
-147.04472,67,9.427651
-168.035492,86,9.477286
-133.641306,96,9.536249
-161.235855,70,9.577097
-103.450924,60,9.616511
-139.555029,54,9.648526
-712.007541,75,9.694969
-147.265713,68,9.741775
-181.906644,80,9.787497
-152.129547,72,9.832792
-80.22458,54,9.866405
-142.36261,56,9.903593
-1164.280386,166,10.01766
-110.854762,63,10.057151
-116.610883,60,10.091598
-130.928669,75,10.137308
-88.281223,52,10.168427
-68.853535,68,10.218186
-205.440878,70,10.259958
-32.555891,89,10.313798
-107.621426,59,10.348855
-407.862821,89,10.400874
-159.558169,75,10.458438
-134.002363,57,10.499003
-131.807363,75,10.546598
7.763057,58,10.582011
-50.618322,64,10.622276
-128.790434,90,10.681668
-452.755627,88,10.760561
-135.437798,75,10.805116
-120.260547,73,10.851736
-104.393707,90,10.905488
-114.60875,64,10.944724
-132.202449,55,10.979237
-138.426673,64,11.016802
-381.296709,159,11.110979
-111.938482,90,11.166611
-125.171152,56,11.205985
-120.977648,75,11.253907
-123.359304,64,11.292248
-136.668289,54,11.323529
-84.562868,62,11.361933
-141.045675,71,11.404435
-132.754464,54,11.435567
-136.434124,67,11.478107
-116.753559,97,11.534838
-124.944666,91,11.59326
-132.481298,69,11.641103
-197.677644,82,11.692993
-180.032552,68,11.73197
-45.204017,70,11.776352
-141.479187,59,11.811575
-283.631517,93,11.869463
-23.478794,96,11.92605
-150.885603,65,11.967527
-146.099975,76,12.012734
-35.202875,90,12.068769
-115.374971,81,12.122072
-164.526825,88,12.175501
-117.63338,57,12.210333
-162.654384,62,12.246234
-149.858044,66,12.287557
-134.113176,52,12.318923
-227.460412,84,12.3699
-81.168837,53,12.402485
-129.407007,79,12.448954
-144.483295,75,12.495433
-156.793049,79,12.548896
-99.192401,64,12.589646
-172.51373,73,12.63398
-434.915808,73,12.679206
-164.51519,69,12.720209
-87.980703,57,12.753155
-149.62595,55,12.787655
-92.738973,92,12.842741
-95.828263,87,12.896076
-176.747036,67,12.936802
-119.634559,64,12.9869
-2.616832,85,13.037565
-151.967392,51,13.067739
-95.561229,82,13.118526
-126.225434,55,13.151719
-131.889897,71,13.195724
-110.666394,81,13.244175
-302.16142,90,13.298538
-144.805484,59,13.334219
-331.163698,100,13.394679
-159.656901,88,13.454898
-537.463577,97,13.513471
-158.776799,101,13.572913
-103.872933,77,13.620958
-107.966462,77,13.668391
-334.617969,94,13.724797
-119.545822,55,13.758887
-136.972553,54,13.79045
-22.986847,98,13.851893
15.018416,92,13.908111
-170.663434,83,13.964149
-74.360254,72,14.005643
-99.000415,91,14.064046
-136.095552,73,14.105979
-63.978524,90,14.161619
-303.515864,94,14.21773
-204.281774,129,14.293286
-202.002217,83,14.343186
-498.667658,81,14.392201
-212.518656,81,14.441425
-408.256468,142,14.531895
229.296786,178,14.640354
-164.238424,82,14.689523
-139.075517,181,14.796893
-75.88132,59,14.834517
-158.596376,56,14.867991
-86.973565,65,14.907994
-135.758507,72,14.952429
-110.899744,82,15.002381
-278.249602,80,15.051168
-202.853214,78,15.104613
-149.521199,57,15.137435
-270.312269,108,15.203936
-248.742854,88,15.257454
-297.061404,80,15.306362
-385.740532,128,15.383829
-122.918544,94,15.438065
-90.183046,72,15.48264
-51.600502,79,15.530407
-253.656083,82,15.581461
-49.874874,73,19.327935
-47.73062,65,19.372143
0.294211,126,19.446323
3.540183,111,19.515345
-196.808406,112,19.583242
-175.588744,73,19.62723
-33.736942,103,19.691746
-118.947513,53,19.723282
-202.496352,93,19.780252
-302.231089,99,19.839917
-85.388308,74,19.895411
-191.583442,92,19.947695
-134.557816,80,19.997896
-542.614822,142,20.083416
-108.203113,76,20.128123
-400.436868,170,20.229568
2.529835,89,20.284278
-249.117006,137,20.364472
-24.142923,87,20.417681
-4.412007,132,20.497048
-59.061161,85,20.552601
-55.989399,69,20.596303
-78.529269,96,20.654392
-116.168237,77,20.701024
-137.780009,60,20.738683
-152.341701,58,20.772394
18.053956,78,20.820587
-54.347836,65,20.859494
-304.001747,100,20.920477
-519.15785,328,21.117363
-73.623035,126,21.195492
-142.973196,58,21.232697
14.033273,69,21.274256
-159.534282,66,21.314712
-153.601479,71,21.356248
-49.281726,102,21.418285
-39.190368,100,21.477186
-108.830479,81,21.527091
-146.337343,86,21.578329
5.31493,94,21.635394
-203.96234,121,21.71272
29.360162,107,21.77839
-122.426926,75,21.825831
31.731357,76,21.872481
-5.829118,83,21.920635
-143.169379,66,21.962373
-153.61451,55,21.994796
-55.197011,85,22.04684
-86.566185,88,22.098878
-48.42701,67,22.140872
17.377906,81,22.193829
-59.870441,71,22.238818
-268.450959,141,22.321332
-14.848921,95,22.38061
-87.074074,171,22.482404
-310.443251,112,22.549994
-223.244824,94,22.606021
-118.658416,68,22.649176
-215.706143,86,22.700774
-163.736033,81,22.747176
-112.256974,74,22.802067
-182.643161,80,22.847987
-75.400296,83,22.900799
-9.079327,101,22.961937
-95.65824,83,23.010965
-316.322209,105,23.075819
0.110593,90,23.129043
-450.433218,109,23.195809
-253.298261,117,23.267433
-93.530342,70,23.309064
-37.16074,116,23.384732
-79.725179,64,23.423276
-137.042649,87,23.477077
-264.831007,79,23.524062
-76.356754,88,23.579003
-73.772348,77,23.625411
-165.01853,68,23.665632
-286.079182,88,23.720298
-95.565628,60,23.755291
-34.344091,72,23.801252
-34.742263,81,23.856621
-12.531172,92,23.91438
-257.205789,203,24.035512
-50.066094,91,24.09135
-63.925054,87,24.142687
-101.957426,74,24.185703
-9.182384,109,24.252662
-73.60532,77,24.300524
-186.583326,92,24.355215
-87.988846,74,24.400896
-311.559872,135,24.486235
1.971109,87,24.54036
-1.734727,61,24.576738
-144.570806,65,24.618143
-155.796103,53,24.651692
-108.85999,72,24.693624
-106.484993,75,24.740995
-107.30338,82,24.788564
-366.216665,137,24.872249
-186.695097,74,24.91807
-171.214776,68,24.963709
-40.267091,83,25.011641
-120.506869,114,25.082163
-19.863786,75,25.128339
-158.746111,66,25.168616
-87.694613,105,25.232634
-175.598796,77,25.27934
-145.045745,59,25.313967
-33.165209,85,25.366708
-32.211273,91,25.41917
-137.823247,60,29.713356
-26.380533,96,29.773353
-339.149988,152,29.864373
2.790279,106,29.926781
-129.435574,66,29.967549
-312.576345,89,30.022766
-173.125679,112,30.091038
-22.031586,85,30.141097
-64.745133,56,30.176735
-151.224471,76,30.223572
-56.684863,84,30.282773
-68.858335,67,30.322972
-190.756871,178,30.43104
-171.380328,69,30.474963
-146.838283,64,30.513329
-303.861456,85,30.564704
-245.948282,154,30.655022
-94.4015,61,30.693291
205.741654,379,30.919156
-478.199924,101,30.979974
-78.498432,89,31.038282
-68.956401,77,31.085891
-339.651676,88,31.137728
-251.598841,69,31.177548
-165.260682,70,31.231969
-55.987256,115,31.313275
-230.214749,117,31.380574
-98.547025,98,31.441249
-110.142214,85,31.493001
-312.849922,103,31.553097
-125.458282,73,31.606906
-102.817741,57,31.64168
-122.20675,94,31.701541
-291.539774,90,31.754917
-146.944131,67,31.794647
-93.23523,75,31.842124
-91.662899,94,31.897603
-79.48777,79,31.947055
-270.986445,198,32.06538
-329.996772,113,32.133227
-34.999886,84,32.189075
-185.364206,94,32.247738
-63.421984,109,32.312836
-64.529326,69,32.354704
-44.701963,86,32.404266
-24.327221,107,32.469736
-153.460932,63,32.506422
-65.856491,73,32.552748
-7.607998,92,32.614074
-156.419889,111,32.684635
-331.922523,88,32.745863
-368.069546,89,32.798904
-103.953111,109,32.866077
-363.038198,98,32.924047
-138.062937,115,32.99529
-170.595609,89,33.049574
-108.351519,74,33.094388
-75.638657,79,33.142076
-137.017384,72,33.184614
-285.571193,194,33.299153
-350.340602,93,33.365861
-163.324073,151,33.45655
-180.835117,86,33.506739
40.182892,93,33.563962
-142.423789,77,33.610803
46.246906,78,33.65957
-18.784443,55,33.692546
-298.220375,106,33.756775
-34.27386,64,33.795067
-447.953536,124,33.870836
-132.526268,72,33.919754
-170.75038,71,33.964567
-445.984969,95,34.020251
-145.024701,104,34.082279
-107.902485,51,34.114602
-309.290797,125,34.189116
-97.075748,73,34.232558
-50.123906,106,34.299281
-114.882645,89,34.350815
-410.195449,130,34.430091
-22.997736,71,34.482265
37.220265,77,34.528857
-304.305073,104,34.59356
-187.287025,78,34.639906
-266.411788,96,34.6997
-333.676738,103,34.760717
-51.670296,59,34.798621
-43.619085,61,34.834887
-405.544601,231,34.972905
-281.485602,101,35.034632
-609.715985,183,35.149595
-96.643806,84,35.200488
-113.875215,86,35.251377
-240.631214,71,35.29536
-213.837448,77,35.340575
-148.930318,62,35.37753
-12.937295,71,35.421563
-180.244148,90,35.474689
-130.516451,81,35.523946
-134.585577,73,35.568635
-392.627107,106,35.641573
-37.577229,121,35.714241
-119.994261,96,35.770655
-222.778356,72,35.815795
-762.43368,210,39.671479
-64.973928,85,39.723329
-130.697647,88,39.774765
-97.429916,62,39.811487
-120.399254,99,39.873438
-151.767216,72,39.919001
-125.458906,74,39.970717
22.084952,93,40.026985
-155.246118,60,40.063833
-123.302685,78,40.108623
22.42003,114,40.17772
-141.592088,162,40.274863
-254.2206,108,40.340432
-293.818989,72,40.385483
-75.190125,77,40.433024
-203.747696,85,40.483206
-108.162361,59,40.52368
-109.823825,98,40.586089
-392.332904,186,40.705923
24.098377,98,40.765408
-67.082083,68,40.807148
-297.534199,88,40.862438
-83.425653,73,40.906642
-56.413123,66,40.945326
-142.014334,70,40.990679
-134.693648,65,41.028357
26.447673,137,41.117753
-62.247018,56,41.149934
-253.479794,86,41.204324
-38.771059,69,41.244501
-303.635028,235,41.386264
-334.485784,83,41.435431
-105.83431,83,41.486899
-109.662654,61,41.523398
16.969996,84,41.575563
-137.391301,62,41.613691
-21.995763,62,41.657012
-39.948533,68,41.702056
-239.787747,102,41.761425
-322.103492,99,41.82174
-563.009205,116,41.892646
223.883164,209,42.019792
-280.762655,126,42.094087
-123.901669,83,42.143955
-64.843184,62,42.180152
-9.554932,67,42.223035
-308.145087,91,42.282198
-315.08447,87,42.336105
-159.868296,78,42.381325
-131.957232,87,42.435495
-29.603293,81,42.481755
-173.202777,101,42.547822
-19.36429,68,42.587219
-52.452339,122,42.662536
-151.947423,69,42.70509
20.428365,72,42.748518
-309.866425,93,42.810991
9.915481,113,42.876913
-50.964401,90,42.933719
-91.642661,68,42.973472
-329.993266,132,43.053066
-145.376476,78,43.097894
-73.692362,77,43.147009
-83.474551,78,43.192107
-155.961331,154,43.283379
-6.404752,62,43.323254
-225.493796,130,43.403689
-266.589074,147,43.491556
-25.94065,59,43.52895
8.672736,68,43.569677
23.7672,235,43.711682
-151.354465,79,43.762623
-3.124836,85,43.811934
28.775556,86,43.865602
-509.742769,238,44.005667
-117.051584,104,44.06856
-332.58703,104,44.135947
-193.875399,124,44.211124
-252.853377,108,44.277153
-23.269877,86,44.326892
-152.045908,58,44.363429
-101.958534,82,44.412083
-52.599455,97,44.470001
-250.763173,120,44.540671
-579.870692,378,44.764785
-443.310582,226,44.90058
-120.991547,53,44.938062
-87.484603,89,44.995505
-147.067279,173,45.098685
-71.08393,83,45.147064
-188.818142,174,45.251377
-179.878114,133,45.332735
-388.863052,162,45.430758
-81.034334,74,45.476227
-268.523269,83,45.525131
-97.546381,62,45.560858
-325.311661,84,45.622242
-286.13427,86,50.043764
-79.987108,74,50.088763
-562.666929,355,50.303901
-103.536106,66,50.343127
-153.801104,123,50.416876
-121.490901,67,50.457049
36.69951,118,50.527724
-118.798377,114,50.594633
-17.695513,86,50.64817
-68.760428,90,50.708922
-178.769314,95,50.768266
-86.927518,82,50.818053
-257.235276,94,50.874143
-84.06372,81,50.923892
-293.765503,81,50.972165
-223.988437,145,51.060171
-279.371278,86,51.112011
-74.006263,75,51.15872
23.080266,99,51.217068
-330.999001,346,51.429518
-165.31853,85,51.483748
-421.014974,249,51.631843
43.661961,108,51.698523
-78.065864,86,51.751101
-92.835415,64,51.791337
-360.503832,142,51.875566
-21.684913,72,51.920827
-230.477997,99,51.98223
-73.803808,64,52.02034
-272.208959,96,52.088203
-144.925071,69,52.129433
5.201513,80,52.178647
-248.612891,123,52.250761
-266.204475,104,52.317085
16.90351,100,52.377777
20.968923,88,52.431056
